epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.744, 0.776, 0.0000, 0.0000, 0.0000, 0.0000, 0.8804
2, 1.417, 0.632, 0.4053, 0.6779, 0.5073, 0.3398, 0.8425
3, 1.114, 0.499, 0.4724, 0.8043, 0.5952, 0.4237, 0.8692
4, 1.038, 0.533, 0.5053, 0.7475, 0.6030, 0.4317, 0.8823
5, 0.981, 0.485, 0.5040, 0.7964, 0.6173, 0.4465, 0.8819
6, 0.973, 0.492, 0.4416, 0.8787, 0.5878, 0.4163, 0.8526
7, 0.976, 0.459, 0.4857, 0.8346, 0.6140, 0.4430, 0.8745
8, 0.922, 0.591, 0.6209, 0.6541, 0.6371, 0.4674, 0.9109
9, 0.942, 0.469, 0.5534, 0.7560, 0.6390, 0.4695, 0.8978
10, 0.902, 0.455, 0.5261, 0.8015, 0.6352, 0.4654, 0.8899
11, 0.950, 0.469, 0.5173, 0.7881, 0.6246, 0.4542, 0.8867
12, 0.900, 0.450, 0.5233, 0.8080, 0.6352, 0.4654, 0.8890
13, 0.897, 0.491, 0.5905, 0.7123, 0.6457, 0.4768, 0.9065
14, 0.890, 0.441, 0.5714, 0.7524, 0.6495, 0.4810, 0.9029
15, 0.896, 0.472, 0.5709, 0.7525, 0.6493, 0.4807, 0.9028
16, 0.871, 0.435, 0.5155, 0.8315, 0.6365, 0.4668, 0.8864
17, 0.863, 0.436, 0.5448, 0.8013, 0.6486, 0.4800, 0.8962
18, 0.867, 0.433, 0.5949, 0.7472, 0.6624, 0.4952, 0.9089
19, 0.870, 0.491, 0.6003, 0.7201, 0.6548, 0.4867, 0.9092
20, 0.888, 0.449, 0.5543, 0.7832, 0.6492, 0.4806, 0.8988
21, 0.862, 0.465, 0.4632, 0.8510, 0.5999, 0.4284, 0.8642
22, 0.893, 0.402, 0.5407, 0.8126, 0.6494, 0.4808, 0.8951
23, 0.854, 0.440, 0.5859, 0.7616, 0.6623, 0.4951, 0.9071
24, 0.852, 0.420, 0.5866, 0.7704, 0.6660, 0.4993, 0.9076
25, 0.844, 0.435, 0.5846, 0.7576, 0.6599, 0.4925, 0.9066
26, 0.847, 0.411, 0.5661, 0.8053, 0.6648, 0.4979, 0.9029
27, 0.851, 0.428, 0.6068, 0.7618, 0.6755, 0.5100, 0.9125
28, 0.824, 0.384, 0.5853, 0.7965, 0.6748, 0.5092, 0.9082
29, 0.850, 0.392, 0.5875, 0.7945, 0.6755, 0.5100, 0.9087
30, 0.832, 0.411, 0.6184, 0.7725, 0.6869, 0.5231, 0.9158
31, 0.827, 0.401, 0.5555, 0.8451, 0.6703, 0.5041, 0.9006
32, 0.817, 0.411, 0.6403, 0.7563, 0.6935, 0.5308, 0.9200
33, 0.830, 0.389, 0.5300, 0.8619, 0.6564, 0.4885, 0.8921
34, 0.801, 0.439, 0.5397, 0.7937, 0.6425, 0.4733, 0.8944
35, 0.811, 0.422, 0.6420, 0.7646, 0.6980, 0.5360, 0.9209
36, 0.789, 0.382, 0.5639, 0.8389, 0.6744, 0.5088, 0.9031
37, 0.794, 0.389, 0.6240, 0.8027, 0.7022, 0.5410, 0.9186
38, 0.787, 0.373, 0.6380, 0.7895, 0.7057, 0.5452, 0.9212
39, 0.791, 0.394, 0.6047, 0.8158, 0.6946, 0.5321, 0.9142
40, 0.782, 0.424, 0.7102, 0.7156, 0.7129, 0.5539, 0.9311
