epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.557, 0.471, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
2, 1.341, 0.437, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
3, 1.337, 0.435, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
4, 1.337, 0.409, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
5, 1.317, 0.395, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
6, 1.302, 0.386, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
7, 1.285, 0.394, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
8, 1.272, 0.377, 0.0000, 0.0000, 0.0000, 0.0000, 0.9625
9, 1.249, 0.373, 0.2168, 0.2768, 0.2432, 0.1384, 0.9354
10, 1.237, 0.377, 0.2601, 0.0980, 0.1424, 0.0766, 0.9558
11, 1.219, 0.373, 0.2279, 0.1689, 0.1940, 0.1074, 0.9474
12, 1.193, 0.358, 0.2510, 0.1909, 0.2168, 0.1216, 0.9483
13, 1.197, 0.375, 0.2142, 0.2425, 0.2275, 0.1283, 0.9383
14, 1.192, 0.376, 0.2255, 0.3472, 0.2734, 0.1584, 0.9309
15, 1.200, 0.352, 0.2231, 0.3469, 0.2715, 0.1571, 0.9303
16, 1.201, 0.375, 0.2097, 0.4334, 0.2826, 0.1646, 0.9176
17, 1.188, 0.353, 0.2456, 0.2846, 0.2637, 0.1519, 0.9404
18, 1.178, 0.387, 0.1857, 0.5081, 0.2720, 0.1574, 0.8981
19, 1.169, 0.376, 0.2134, 0.4703, 0.2936, 0.1721, 0.9152
20, 1.172, 0.374, 0.2149, 0.4687, 0.2947, 0.1728, 0.9159
21, 1.157, 0.359, 0.2306, 0.4139, 0.2962, 0.1738, 0.9263
22, 1.155, 0.343, 0.2985, 0.2095, 0.2463, 0.1404, 0.9519
23, 1.150, 0.345, 0.2512, 0.3799, 0.3024, 0.1782, 0.9343
24, 1.137, 0.351, 0.2626, 0.3561, 0.3023, 0.1780, 0.9384
25, 1.139, 0.343, 0.3145, 0.1864, 0.2341, 0.1325, 0.9543
26, 1.144, 0.348, 0.2661, 0.3483, 0.3017, 0.1777, 0.9396
27, 1.133, 0.342, 0.2553, 0.3480, 0.2945, 0.1727, 0.9375
28, 1.156, 0.339, 0.2670, 0.3854, 0.3154, 0.1873, 0.9373
29, 1.127, 0.350, 0.2360, 0.4569, 0.3113, 0.1843, 0.9242
30, 1.123, 0.350, 0.2925, 0.2593, 0.2749, 0.1594, 0.9488
31, 1.132, 0.354, 0.2297, 0.4775, 0.3102, 0.1836, 0.9204
32, 1.137, 0.358, 0.3128, 0.2426, 0.2733, 0.1583, 0.9517
33, 1.122, 0.384, 0.3700, 0.1498, 0.2133, 0.1194, 0.9586
34, 1.142, 0.321, 0.2763, 0.3573, 0.3116, 0.1845, 0.9409
35, 1.112, 0.328, 0.2743, 0.3432, 0.3049, 0.1799, 0.9414
36, 1.115, 0.339, 0.2335, 0.5218, 0.3226, 0.1923, 0.9179
37, 1.104, 0.358, 0.3157, 0.2593, 0.2847, 0.1660, 0.9512
38, 1.107, 0.339, 0.2926, 0.2486, 0.2688, 0.1553, 0.9493
39, 1.099, 0.335, 0.2475, 0.4567, 0.3210, 0.1912, 0.9276
40, 1.097, 0.313, 0.2953, 0.3660, 0.3269, 0.1954, 0.9435
