epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.652, 0.677, 0.0000, 0.0000, 0.0000, 0.0000, 0.9140
2, 1.316, 0.562, 0.6318, 0.5485, 0.5872, 0.4156, 0.9337
3, 0.930, 0.383, 0.4918, 0.7820, 0.6038, 0.4325, 0.9118
4, 0.921, 0.466, 0.6217, 0.6437, 0.6325, 0.4625, 0.9357
5, 0.842, 0.346, 0.5415, 0.7711, 0.6362, 0.4665, 0.9242
6, 0.813, 0.331, 0.5073, 0.8198, 0.6267, 0.4564, 0.9161
7, 0.803, 0.327, 0.5067, 0.8320, 0.6298, 0.4596, 0.9159
8, 0.827, 0.330, 0.5685, 0.7714, 0.6546, 0.4866, 0.9300
9, 0.789, 0.326, 0.5093, 0.8399, 0.6341, 0.4642, 0.9167
10, 0.781, 0.315, 0.5275, 0.8241, 0.6432, 0.4741, 0.9214
11, 0.767, 0.368, 0.6408, 0.6966, 0.6675, 0.5010, 0.9404
12, 0.784, 0.329, 0.6128, 0.7372, 0.6693, 0.5029, 0.9374
13, 0.771, 0.354, 0.6462, 0.7018, 0.6729, 0.5070, 0.9413
14, 0.766, 0.377, 0.6291, 0.7179, 0.6706, 0.5044, 0.9394
15, 0.759, 0.324, 0.6198, 0.7352, 0.6726, 0.5067, 0.9385
16, 0.750, 0.327, 0.6412, 0.7144, 0.6758, 0.5104, 0.9411
17, 0.744, 0.306, 0.5767, 0.7834, 0.6644, 0.4974, 0.9320
18, 0.762, 0.343, 0.6304, 0.7279, 0.6757, 0.5102, 0.9399
19, 0.746, 0.327, 0.6271, 0.7350, 0.6768, 0.5115, 0.9397
20, 0.752, 0.357, 0.6613, 0.6868, 0.6738, 0.5081, 0.9429
21, 0.752, 0.321, 0.5820, 0.7819, 0.6673, 0.5007, 0.9330
22, 0.756, 0.372, 0.6734, 0.6804, 0.6769, 0.5116, 0.9442
23, 0.742, 0.365, 0.6819, 0.6683, 0.6750, 0.5094, 0.9447
24, 0.742, 0.302, 0.5745, 0.7935, 0.6665, 0.4998, 0.9317
25, 0.736, 0.308, 0.5966, 0.7746, 0.6741, 0.5084, 0.9356
26, 0.745, 0.297, 0.5423, 0.8246, 0.6543, 0.4863, 0.9251
27, 0.735, 0.355, 0.6627, 0.6958, 0.6788, 0.5138, 0.9434
28, 0.753, 0.309, 0.5609, 0.8057, 0.6614, 0.4941, 0.9291
29, 0.738, 0.317, 0.6383, 0.7237, 0.6783, 0.5132, 0.9410
30, 0.740, 0.299, 0.5475, 0.8225, 0.6574, 0.4897, 0.9263
31, 0.731, 0.319, 0.6100, 0.7543, 0.6745, 0.5089, 0.9374
32, 0.742, 0.294, 0.5720, 0.7967, 0.6659, 0.4992, 0.9313
33, 0.754, 0.305, 0.6020, 0.7698, 0.6756, 0.5101, 0.9365
34, 0.723, 0.341, 0.6521, 0.7116, 0.6805, 0.5158, 0.9426
35, 0.761, 0.321, 0.5464, 0.8209, 0.6561, 0.4882, 0.9260
36, 0.731, 0.300, 0.5128, 0.8552, 0.6411, 0.4718, 0.9177
37, 0.728, 0.316, 0.6311, 0.7441, 0.6830, 0.5186, 0.9406
38, 0.721, 0.336, 0.6254, 0.7501, 0.6821, 0.5176, 0.9399
39, 0.728, 0.397, 0.6919, 0.6642, 0.6777, 0.5126, 0.9457
40, 0.728, 0.301, 0.5446, 0.8326, 0.6585, 0.4908, 0.9258
