epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.632, 0.661, 0.2610, 0.6606, 0.3742, 0.2301, 0.7852
2, 1.307, 0.677, 0.2736, 0.7822, 0.4054, 0.2542, 0.7770
3, 1.227, 0.565, 0.3223, 0.6979, 0.4410, 0.2828, 0.8280
4, 1.200, 0.620, 0.4497, 0.4444, 0.4470, 0.2879, 0.8932
5, 1.183, 0.563, 0.3550, 0.6673, 0.4635, 0.3016, 0.8498
6, 1.151, 0.538, 0.4471, 0.5311, 0.4855, 0.3206, 0.8906
7, 1.131, 0.635, 0.4755, 0.4801, 0.4778, 0.3139, 0.8980
8, 1.143, 0.505, 0.4170, 0.6369, 0.5040, 0.3369, 0.8782
9, 1.098, 0.505, 0.4195, 0.6511, 0.5102, 0.3425, 0.8785
10, 1.085, 0.528, 0.4461, 0.6043, 0.5133, 0.3453, 0.8886
11, 1.071, 0.483, 0.3983, 0.7253, 0.5142, 0.3461, 0.8668
12, 1.080, 0.486, 0.4100, 0.7016, 0.5175, 0.3491, 0.8729
13, 1.096, 0.547, 0.4241, 0.5443, 0.4768, 0.3130, 0.8839
14, 1.080, 0.497, 0.4606, 0.6273, 0.5312, 0.3617, 0.8924
15, 1.054, 0.475, 0.4025, 0.7346, 0.5201, 0.3514, 0.8682
16, 1.034, 0.508, 0.4687, 0.5776, 0.5175, 0.3490, 0.8953
17, 1.034, 0.521, 0.4810, 0.6105, 0.5380, 0.3680, 0.8981
18, 1.017, 0.501, 0.3600, 0.8068, 0.4979, 0.3315, 0.8418
19, 1.028, 0.466, 0.4690, 0.6470, 0.5438, 0.3735, 0.8945
20, 1.041, 0.474, 0.4366, 0.7037, 0.5389, 0.3688, 0.8829
21, 1.002, 0.491, 0.4516, 0.6594, 0.5360, 0.3662, 0.8891
22, 1.000, 0.454, 0.4516, 0.6905, 0.5460, 0.3756, 0.8884
23, 0.995, 0.469, 0.4885, 0.6287, 0.5498, 0.3791, 0.8999
24, 1.001, 0.463, 0.3987, 0.7831, 0.5284, 0.3591, 0.8641
25, 1.009, 0.452, 0.4424, 0.7124, 0.5459, 0.3754, 0.8848
26, 1.008, 0.461, 0.4007, 0.7768, 0.5287, 0.3594, 0.8654
27, 1.000, 0.453, 0.4273, 0.7492, 0.5442, 0.3738, 0.8780
28, 0.976, 0.448, 0.4431, 0.7324, 0.5522, 0.3814, 0.8845
29, 0.999, 0.460, 0.4573, 0.6926, 0.5509, 0.3801, 0.8902
30, 0.988, 0.464, 0.4303, 0.7443, 0.5453, 0.3749, 0.8794
31, 1.008, 0.454, 0.4607, 0.6980, 0.5550, 0.3841, 0.8912
32, 0.971, 0.455, 0.4320, 0.7401, 0.5456, 0.3751, 0.8802
33, 0.976, 0.470, 0.4762, 0.6851, 0.5618, 0.3907, 0.8961
34, 0.986, 0.470, 0.4938, 0.6439, 0.5590, 0.3879, 0.9012
35, 0.965, 0.472, 0.5295, 0.5928, 0.5594, 0.3883, 0.9092
36, 0.970, 0.462, 0.5163, 0.6164, 0.5620, 0.3908, 0.9066
37, 0.971, 0.447, 0.4248, 0.7686, 0.5472, 0.3766, 0.8764
38, 0.966, 0.440, 0.4723, 0.6918, 0.5614, 0.3902, 0.8949
39, 0.966, 0.450, 0.4903, 0.6729, 0.5673, 0.3959, 0.9002
40, 0.954, 0.450, 0.4471, 0.7385, 0.5570, 0.3860, 0.8858
