epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.722, 0.784, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
2, 1.673, 0.651, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
3, 1.578, 0.598, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
4, 1.557, 0.577, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
5, 1.544, 0.565, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
6, 1.535, 0.614, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
7, 1.550, 0.560, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
8, 1.534, 0.599, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
9, 1.525, 0.553, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
10, 1.494, 0.544, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
11, 1.477, 0.503, 0.0000, 0.0000, 0.0000, 0.0000, 0.9421
12, 1.424, 0.475, 0.9528, 0.0057, 0.0114, 0.0057, 0.9424
13, 1.344, 0.505, 0.3470, 0.4561, 0.3941, 0.2454, 0.9188
14, 1.347, 0.452, 0.3813, 0.4090, 0.3947, 0.2458, 0.9273
15, 1.295, 0.439, 0.3118, 0.5675, 0.4025, 0.2519, 0.9024
16, 1.285, 0.465, 0.2869, 0.6424, 0.3966, 0.2474, 0.8868
17, 1.268, 0.435, 0.3012, 0.5912, 0.3990, 0.2493, 0.8969
18, 1.259, 0.445, 0.2933, 0.6180, 0.3978, 0.2483, 0.8916
19, 1.242, 0.452, 0.3054, 0.6378, 0.4130, 0.2602, 0.8950
20, 1.248, 0.431, 0.3702, 0.5262, 0.4346, 0.2776, 0.9207
21, 1.256, 0.418, 0.3759, 0.5241, 0.4378, 0.2802, 0.9221
22, 1.228, 0.423, 0.3447, 0.5782, 0.4319, 0.2755, 0.9119
23, 1.204, 0.412, 0.3223, 0.6373, 0.4281, 0.2723, 0.9014
24, 1.198, 0.419, 0.2998, 0.6744, 0.4151, 0.2619, 0.8899
25, 1.171, 0.401, 0.3280, 0.6554, 0.4372, 0.2797, 0.9023
26, 1.189, 0.392, 0.3547, 0.6158, 0.4502, 0.2905, 0.9129
27, 1.174, 0.386, 0.3758, 0.5924, 0.4599, 0.2986, 0.9194
28, 1.141, 0.449, 0.2912, 0.7420, 0.4183, 0.2645, 0.8805
29, 1.168, 0.430, 0.3296, 0.6855, 0.4452, 0.2863, 0.9011
30, 1.180, 0.405, 0.3241, 0.6606, 0.4349, 0.2779, 0.9006
31, 1.158, 0.369, 0.4109, 0.5757, 0.4795, 0.3154, 0.9276
32, 1.175, 0.408, 0.4398, 0.5539, 0.4903, 0.3248, 0.9333
33, 1.191, 0.384, 0.3959, 0.5943, 0.4752, 0.3117, 0.9240
34, 1.192, 0.385, 0.3367, 0.6783, 0.4500, 0.2903, 0.9040
35, 1.192, 0.424, 0.2936, 0.7380, 0.4201, 0.2659, 0.8820
36, 1.181, 0.402, 0.3255, 0.7000, 0.4444, 0.2857, 0.8987
37, 1.144, 0.384, 0.3594, 0.6640, 0.4664, 0.3041, 0.9120
38, 1.110, 0.374, 0.3761, 0.6494, 0.4764, 0.3126, 0.9173
39, 1.085, 0.368, 0.3737, 0.6630, 0.4780, 0.3140, 0.9161
40, 1.071, 0.365, 0.4007, 0.6270, 0.4889, 0.3236, 0.9241
