epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.633, 0.587, 0.0000, 0.0000, 0.0000, 0.0000, 0.9341
2, 1.391, 0.531, 0.0000, 0.0000, 0.0000, 0.0000, 0.9341
3, 1.242, 0.579, 0.6072, 0.3318, 0.4292, 0.2732, 0.9418
4, 1.108, 0.450, 0.5218, 0.4914, 0.5061, 0.3388, 0.9368
5, 1.071, 0.513, 0.5852, 0.4542, 0.5114, 0.3436, 0.9428
6, 1.011, 0.426, 0.5065, 0.5843, 0.5427, 0.3724, 0.9351
7, 0.990, 0.418, 0.5013, 0.6075, 0.5493, 0.3786, 0.9343
8, 0.964, 0.403, 0.5386, 0.5861, 0.5613, 0.3902, 0.9396
9, 0.971, 0.385, 0.4690, 0.6732, 0.5528, 0.3820, 0.9282
10, 0.957, 0.463, 0.6578, 0.4452, 0.5310, 0.3615, 0.9482
11, 0.955, 0.403, 0.5292, 0.6152, 0.5690, 0.3976, 0.9386
12, 0.934, 0.410, 0.5594, 0.6260, 0.5908, 0.4193, 0.9429
13, 0.914, 0.385, 0.6320, 0.5686, 0.5986, 0.4272, 0.9498
14, 0.914, 0.405, 0.5134, 0.6423, 0.5707, 0.3993, 0.9363
15, 0.922, 0.461, 0.6991, 0.4999, 0.5830, 0.4114, 0.9529
16, 0.909, 0.388, 0.5125, 0.6389, 0.5688, 0.3974, 0.9362
17, 0.911, 0.426, 0.5096, 0.6564, 0.5738, 0.4023, 0.9358
18, 0.883, 0.350, 0.5986, 0.6135, 0.6060, 0.4347, 0.9474
19, 0.890, 0.347, 0.5259, 0.6628, 0.5864, 0.4149, 0.9384
20, 0.887, 0.374, 0.5756, 0.6367, 0.6046, 0.4332, 0.9451
21, 0.847, 0.364, 0.5612, 0.6527, 0.6035, 0.4322, 0.9435
22, 0.863, 0.343, 0.5832, 0.6363, 0.6086, 0.4374, 0.9461
23, 0.846, 0.387, 0.5584, 0.6614, 0.6055, 0.4342, 0.9432
24, 0.863, 0.335, 0.5431, 0.6663, 0.5984, 0.4270, 0.9411
25, 0.849, 0.465, 0.6815, 0.5429, 0.6044, 0.4331, 0.9532
26, 0.872, 0.357, 0.5966, 0.6299, 0.6128, 0.4418, 0.9476
27, 0.849, 0.354, 0.6099, 0.6310, 0.6203, 0.4496, 0.9491
28, 0.834, 0.521, 0.7312, 0.5132, 0.6031, 0.4317, 0.9555
29, 0.888, 0.365, 0.4226, 0.7100, 0.5298, 0.3604, 0.9170
30, 0.844, 0.346, 0.5177, 0.6980, 0.5945, 0.4230, 0.9373
31, 0.854, 0.380, 0.4100, 0.7801, 0.5375, 0.3675, 0.9115
32, 0.838, 0.346, 0.6028, 0.6292, 0.6157, 0.4448, 0.9483
33, 0.821, 0.354, 0.4971, 0.7231, 0.5891, 0.4176, 0.9335
34, 0.818, 0.358, 0.5968, 0.6325, 0.6141, 0.4431, 0.9476
35, 0.812, 0.329, 0.5549, 0.6827, 0.6122, 0.4411, 0.9430
36, 0.809, 0.368, 0.5937, 0.6452, 0.6184, 0.4476, 0.9475
37, 0.820, 0.334, 0.5549, 0.6786, 0.6105, 0.4394, 0.9430
38, 0.787, 0.359, 0.6282, 0.6247, 0.6264, 0.4560, 0.9509
39, 0.795, 0.363, 0.5808, 0.6225, 0.6009, 0.4295, 0.9455
40, 0.787, 0.335, 0.5413, 0.7123, 0.6151, 0.4442, 0.9413
