epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.690, 0.722, 0.0000, 0.0000, 0.0000, 0.0000, 0.9187
2, 1.567, 0.687, 0.0000, 0.0000, 0.0000, 0.0000, 0.9187
3, 1.532, 0.667, 0.0000, 0.0000, 0.0000, 0.0000, 0.9187
4, 1.493, 0.688, 0.0000, 0.0000, 0.0000, 0.0000, 0.9187
5, 1.451, 0.615, 0.2510, 0.4336, 0.3180, 0.1891, 0.8487
6, 1.378, 0.787, 0.3724, 0.1054, 0.1643, 0.0895, 0.9128
7, 1.393, 0.587, 0.2985, 0.4523, 0.3596, 0.2193, 0.8690
8, 1.319, 0.569, 0.3574, 0.3125, 0.3335, 0.2001, 0.8984
9, 1.293, 0.646, 0.3454, 0.3910, 0.3668, 0.2246, 0.8902
10, 1.270, 0.566, 0.3694, 0.3783, 0.3738, 0.2299, 0.8969
11, 1.270, 0.600, 0.3510, 0.4774, 0.4045, 0.2536, 0.8857
12, 1.234, 0.537, 0.3620, 0.4864, 0.4151, 0.2619, 0.8885
13, 1.253, 0.548, 0.2984, 0.6594, 0.4108, 0.2585, 0.8462
14, 1.224, 0.559, 0.3643, 0.4780, 0.4135, 0.2606, 0.8897
15, 1.199, 0.549, 0.3230, 0.6342, 0.4280, 0.2723, 0.8621
16, 1.203, 0.537, 0.3630, 0.5349, 0.4325, 0.2759, 0.8858
17, 1.176, 0.548, 0.3594, 0.5263, 0.4271, 0.2715, 0.8852
18, 1.185, 0.650, 0.4385, 0.4123, 0.4250, 0.2698, 0.9092
19, 1.199, 0.565, 0.3324, 0.6484, 0.4395, 0.2816, 0.8655
20, 1.286, 0.709, 0.4493, 0.4136, 0.4307, 0.2745, 0.9111
21, 1.186, 0.601, 0.4270, 0.4446, 0.4356, 0.2785, 0.9063
22, 1.151, 0.615, 0.4683, 0.4448, 0.4562, 0.2955, 0.9138
23, 1.114, 0.584, 0.5002, 0.3911, 0.4390, 0.2812, 0.9187
24, 1.117, 0.499, 0.4283, 0.5368, 0.4764, 0.3127, 0.9040
25, 1.100, 0.513, 0.4512, 0.5291, 0.4871, 0.3219, 0.9093
26, 1.086, 0.573, 0.4770, 0.4823, 0.4797, 0.3155, 0.9149
27, 1.144, 0.574, 0.4949, 0.4410, 0.4664, 0.3041, 0.9179
28, 1.081, 0.508, 0.4369, 0.5701, 0.4947, 0.3286, 0.9053
29, 1.063, 0.501, 0.4414, 0.5658, 0.4959, 0.3297, 0.9064
30, 1.049, 0.643, 0.5131, 0.4434, 0.4757, 0.3121, 0.9205
31, 1.100, 0.486, 0.3938, 0.6194, 0.4815, 0.3171, 0.8915
32, 1.043, 0.615, 0.5129, 0.4365, 0.4716, 0.3086, 0.9204
33, 1.056, 0.608, 0.5530, 0.4188, 0.4766, 0.3129, 0.9252
34, 1.090, 0.494, 0.3939, 0.5738, 0.4671, 0.3047, 0.8935
35, 1.068, 0.533, 0.4540, 0.5318, 0.4898, 0.3244, 0.9099
36, 1.047, 0.582, 0.4683, 0.5154, 0.4907, 0.3251, 0.9130
37, 1.048, 0.471, 0.3925, 0.6703, 0.4951, 0.3290, 0.8888
38, 1.060, 0.505, 0.4739, 0.5191, 0.4955, 0.3293, 0.9140
39, 1.042, 0.508, 0.4233, 0.6266, 0.5053, 0.3381, 0.9002
40, 1.044, 0.491, 0.4010, 0.6385, 0.4926, 0.3268, 0.8930
