epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.745, 0.801, 0.0000, 0.0000, 0.0000, 0.0000, 0.9601
2, 1.654, 0.560, 0.0000, 0.0000, 0.0000, 0.0000, 0.9601
3, 1.432, 0.493, 0.0000, 0.0000, 0.0000, 0.0000, 0.9601
4, 1.379, 0.455, 0.0000, 0.0000, 0.0000, 0.0000, 0.9601
5, 1.318, 0.416, 0.0000, 0.0000, 0.0000, 0.0000, 0.9601
6, 1.243, 0.384, 0.0000, 0.0000, 0.0000, 0.0000, 0.9601
7, 1.184, 0.357, 0.2977, 0.5202, 0.3787, 0.2336, 0.9319
8, 1.114, 0.356, 0.2677, 0.6141, 0.3729, 0.2292, 0.9176
9, 1.096, 0.342, 0.2827, 0.5859, 0.3814, 0.2356, 0.9242
10, 1.097, 0.359, 0.2600, 0.6496, 0.3714, 0.2280, 0.9123
11, 1.086, 0.340, 0.2755, 0.6185, 0.3812, 0.2355, 0.9199
12, 1.080, 0.352, 0.2640, 0.6479, 0.3751, 0.2308, 0.9139
13, 1.078, 0.339, 0.2830, 0.6000, 0.3846, 0.2381, 0.9234
14, 1.079, 0.341, 0.2717, 0.6351, 0.3806, 0.2350, 0.9176
15, 1.069, 0.339, 0.2799, 0.6132, 0.3843, 0.2379, 0.9217
16, 1.069, 0.347, 0.2734, 0.6309, 0.3815, 0.2357, 0.9184
17, 1.062, 0.342, 0.2729, 0.6358, 0.3819, 0.2360, 0.9179
18, 1.075, 0.355, 0.2689, 0.6550, 0.3812, 0.2355, 0.9152
19, 1.073, 0.347, 0.2726, 0.6353, 0.3815, 0.2357, 0.9179
20, 1.062, 0.333, 0.2804, 0.6219, 0.3865, 0.2395, 0.9213
21, 1.061, 0.340, 0.2763, 0.6296, 0.3841, 0.2377, 0.9195
22, 1.051, 0.337, 0.2852, 0.6076, 0.3882, 0.2409, 0.9237
23, 1.052, 0.334, 0.3002, 0.5635, 0.3917, 0.2436, 0.9302
24, 1.050, 0.341, 0.2732, 0.6427, 0.3834, 0.2372, 0.9176
25, 1.041, 0.340, 0.2764, 0.6353, 0.3852, 0.2386, 0.9191
26, 1.046, 0.355, 0.2630, 0.6691, 0.3776, 0.2327, 0.9120
27, 1.040, 0.352, 0.2639, 0.6658, 0.3780, 0.2331, 0.9126
28, 1.047, 0.338, 0.2978, 0.5663, 0.3903, 0.2425, 0.9295
29, 1.041, 0.367, 0.2986, 0.5561, 0.3886, 0.2412, 0.9302
30, 1.040, 0.334, 0.2816, 0.6291, 0.3890, 0.2415, 0.9212
31, 1.046, 0.362, 0.2552, 0.6967, 0.3735, 0.2297, 0.9068
32, 1.042, 0.334, 0.2955, 0.5822, 0.3920, 0.2438, 0.9280
33, 1.023, 0.349, 0.2841, 0.6118, 0.3880, 0.2407, 0.9230
34, 1.026, 0.346, 0.2721, 0.6561, 0.3847, 0.2382, 0.9163
35, 1.041, 0.352, 0.2711, 0.6559, 0.3837, 0.2374, 0.9160
36, 1.023, 0.335, 0.2881, 0.5976, 0.3887, 0.2413, 0.9251
37, 1.023, 0.341, 0.2847, 0.6060, 0.3874, 0.2403, 0.9236
38, 1.023, 0.347, 0.2659, 0.6759, 0.3817, 0.2359, 0.9127
39, 1.019, 0.332, 0.2925, 0.5893, 0.3910, 0.2430, 0.9268
40, 1.020, 0.337, 0.2870, 0.6063, 0.3896, 0.2419, 0.9242
