source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.8152, 0.4609, 0.5889, 0.4173, 0.6202, 0.8429, 0.1516
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.7797, 0.5061, 0.6137, 0.4427, 0.6826, 0.9270, 0.3130
Hokkaido Iburi-Tobu, Lombok, 0.1404, 0.4256, 0.2111, 0.1180, 0.5099, 0.9031, 0.1371
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4505, 0.9009, 0.0000
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.7129, 0.0715, 0.1299, 0.0695, 0.4543, 0.8411, 0.0807
Hokkaido Iburi-Tobu, Mengdong Township, 0.5726, 0.2822, 0.3781, 0.2331, 0.5693, 0.9082, 0.2383
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.4351, 0.3777, 0.4044, 0.2534, 0.5334, 0.8245, 0.1006
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.4039, 0.4822, 0.4396, 0.2817, 0.5977, 0.9164, 0.2414
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.4109, 0.3700, 0.3894, 0.2418, 0.5826, 0.9253, 0.1887
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.3314, 0.3060, 0.3182, 0.1892, 0.5346, 0.8833, 0.1552
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.2223, 0.3775, 0.2798, 0.1627, 0.5054, 0.8525, 0.1555
Hokkaido Iburi-Tobu, palu, 0.1430, 0.3060, 0.1949, 0.1080, 0.5397, 0.9715, 0.2360
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.6076, 0.4910, 0.5431, 0.3728, 0.6570, 0.9433, 0.3858
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.2153, 0.4372, 0.2885, 0.1686, 0.5453, 0.9233, 0.2316
Hokkaido Iburi-Tobu, Wenchuan, 0.5373, 0.4493, 0.4894, 0.3240, 0.6402, 0.9574, 0.3966
