target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, 0.7696, 0.7846, 0.7770, 0.6353, 0.7967, 0.9610, 0.5487
Jiuzhai valley (UAV-0.2m), 0.8480, 0.7755, 0.8101, 0.6809, 0.7883, 0.9148, 0.2303
Jiuzhai valley (UAV-0.5m), 0.5721, 0.7720, 0.6572, 0.4894, 0.7041, 0.9246, 0.3703
Lombok, 0.3647, 0.6384, 0.4642, 0.3023, 0.6343, 0.9668, 0.3708
Longxi River (SAT), 0.6099, 0.7528, 0.6739, 0.5082, 0.7296, 0.9535, 0.1702
Longxi River (UAV), 0.6987, 0.7301, 0.7140, 0.5552, 0.7235, 0.9047, 0.3854
Mengdong Township, 0.7237, 0.8290, 0.7728, 0.6297, 0.7781, 0.9347, 0.3573
Moxi town (UAV-0.2m), 0.8813, 0.8074, 0.8427, 0.7282, 0.8065, 0.9119, 0.1282
Moxi town (UAV-1m), 0.7922, 0.8370, 0.8140, 0.6864, 0.8309, 0.9766, 0.5983
Moxitaidi (SAT), 0.8279, 0.7776, 0.8020, 0.6694, 0.8205, 0.9731, 0.2814
Moxitaidi (UAV-0.6m), 0.5899, 0.6811, 0.6322, 0.4622, 0.6840, 0.9129, 0.2686
Moxitaidi (UAV-1m), 0.4276, 0.5419, 0.4780, 0.3141, 0.6337, 0.9542, 0.2377
palu, 0.5238, 0.4617, 0.4908, 0.3252, 0.6528, 0.9806, 0.4563
Tiburon Peninsula (planet), 0.7292, 0.8783, 0.7969, 0.6623, 0.8141, 0.9681, 0.6456
Tiburon Peninsula (Sentinel), 0.6937, 0.7663, 0.7282, 0.5725, 0.7734, 0.9751, 0.5002
Wenchuan, 0.6992, 0.7298, 0.7141, 0.5554, 0.7603, 0.9667, 0.6315
