source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai Valley, 0.8036, 0.4637, 0.5880, 0.4165, 0.6352, 0.8678
Hokkaido Iburi-Tobu, Lombok, 0.1320, 0.5361, 0.2119, 0.1185, 0.4971, 0.8778
Hokkaido Iburi-Tobu, Longxi River, 0.5518, 0.0143, 0.0278, 0.0141, 0.4474, 0.8810
Hokkaido Iburi-Tobu, Mengdong Township, 0.6785, 0.0982, 0.1716, 0.0939, 0.4944, 0.8961
Hokkaido Iburi-Tobu, Luding, 0.4267, 0.4186, 0.4226, 0.2679, 0.5596, 0.8589
Hokkaido Iburi-Tobu, Palu, 0.1180, 0.3773, 0.1798, 0.0988, 0.5285, 0.9583
Hokkaido Iburi-Tobu, Tiburon Peninsula, 0.1869, 0.1316, 0.1545, 0.0837, 0.5076, 0.9319
Hokkaido Iburi-Tobu, Wenchuan, 0.4492, 0.0874, 0.1464, 0.0790, 0.5162, 0.9536
Jiuzhai Valley, Hokkaido Iburi-Tobu, 0.5217, 0.6695, 0.5864, 0.4149, 0.6571, 0.9061
Jiuzhai Valley, Lombok, 0.0882, 0.6849, 0.1562, 0.0847, 0.4265, 0.7732
Jiuzhai Valley, Longxi River, 0.6063, 0.1296, 0.2136, 0.1196, 0.5019, 0.8861
Jiuzhai Valley, Mengdong Township, 0.4604, 0.4519, 0.4561, 0.2954, 0.5856, 0.8819
Jiuzhai Valley, Luding, 0.2549, 0.8459, 0.3917, 0.2436, 0.4409, 0.6759
Jiuzhai Valley, Palu, 0.0399, 0.2164, 0.0674, 0.0349, 0.4810, 0.9274
Jiuzhai Valley, Tiburon Peninsula, 0.2727, 0.4638, 0.3434, 0.2073, 0.5608, 0.9162
Jiuzhai Valley, Wenchuan, 0.3013, 0.5162, 0.3805, 0.2350, 0.5783, 0.9235
Lombok, Hokkaido Iburi-Tobu, 0.6818, 0.2022, 0.3119, 0.1847, 0.5471, 0.9112
Lombok, Jiuzhai Valley, 0.7134, 0.0934, 0.1652, 0.0901, 0.4471, 0.8079
Lombok, Longxi River, 0.1135, 0.2960, 0.1641, 0.0894, 0.3581, 0.6400
Lombok, Mengdong Township, 0.1396, 0.1492, 0.1442, 0.0777, 0.4402, 0.8059
Lombok, Luding, 0.1449, 0.0528, 0.0774, 0.0402, 0.4420, 0.8447
Lombok, Palu, 0.3180, 0.3244, 0.3212, 0.1913, 0.5873, 0.9834
Lombok, Tiburon Peninsula, 0.4354, 0.1944, 0.2688, 0.1553, 0.5524, 0.9500
Lombok, Wenchuan, 0.3819, 0.2976, 0.3345, 0.2009, 0.5731, 0.9461
Longxi River, Hokkaido Iburi-Tobu, 0.4937, 0.5254, 0.5090, 0.3414, 0.6175, 0.8992
Longxi River, Jiuzhai Valley, 0.7553, 0.6354, 0.6902, 0.5269, 0.6968, 0.8839
Longxi River, Lombok, 0.0719, 0.5245, 0.1265, 0.0675, 0.4209, 0.7779
Longxi River, Mengdong Township, 0.3439, 0.8511, 0.4899, 0.3244, 0.5551, 0.8057
