source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.7811, 0.5185, 0.6233, 0.4527, 0.6388, 0.8470
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.6686, 0.6360, 0.6519, 0.4835, 0.6998, 0.9221
Hokkaido Iburi-Tobu, Lombok, 0.1710, 0.5053, 0.2555, 0.1464, 0.5277, 0.9103
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9009
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.6772, 0.0811, 0.1449, 0.0781, 0.4585, 0.8411
Hokkaido Iburi-Tobu, Mengdong Township, 0.3871, 0.3017, 0.3391, 0.2042, 0.5422, 0.8837
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3535, 0.3964, 0.3737, 0.2298, 0.5031, 0.7904
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2445, 0.6756, 0.3591, 0.2189, 0.5235, 0.8361
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.2927, 0.3812, 0.3311, 0.1984, 0.5484, 0.9008
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2809, 0.3135, 0.2963, 0.1739, 0.5188, 0.8674
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1757, 0.4388, 0.2509, 0.1434, 0.4688, 0.8010
Hokkaido Iburi-Tobu, palu, 0.1250, 0.3117, 0.1784, 0.0979, 0.5328, 0.9677
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.4628, 0.6811, 0.5511, 0.3804, 0.6502, 0.9239
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1920, 0.6777, 0.2992, 0.1759, 0.5301, 0.8872
Hokkaido Iburi-Tobu, Wenchuan, 0.3826, 0.6633, 0.4852, 0.3203, 0.6272, 0.9361
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.4644, 0.6517, 0.5423, 0.3720, 0.6316, 0.8978
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.6066, 0.8488, 0.7075, 0.5474, 0.7292, 0.9195
Jiuzhai valley (UAV-0.2m), Lombok, 0.1064, 0.5432, 0.1779, 0.0977, 0.4711, 0.8471
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0326, 0.0004, 0.0009, 0.0004, 0.4501, 0.8997
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.4215, 0.5540, 0.4788, 0.3147, 0.5471, 0.7998
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.3446, 0.7775, 0.4775, 0.3136, 0.5657, 0.8317
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.2784, 0.7719, 0.4092, 0.2572, 0.4284, 0.6484
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.1312, 0.9214, 0.2297, 0.1298, 0.3409, 0.5801
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.2539, 0.7691, 0.3818, 0.2359, 0.5336, 0.8396
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2189, 0.6928, 0.3327, 0.1996, 0.4679, 0.7526
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.1720, 0.7469, 0.2796, 0.1625, 0.4264, 0.7078
Jiuzhai valley (UAV-0.2m), palu, 0.0227, 0.0828, 0.0357, 0.0182, 0.4839, 0.9496
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.3340, 0.2600, 0.2924, 0.1712, 0.5417, 0.9137
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.2658, 0.3763, 0.3115, 0.1845, 0.5623, 0.9409
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.4341, 0.3078, 0.3602, 0.2196, 0.5846, 0.9503
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.6183, 0.6870, 0.6508, 0.4824, 0.7046, 0.9315
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7366, 0.7459, 0.7412, 0.5888, 0.7167, 0.8729
Jiuzhai valley (UAV-0.5m), Lombok, 0.1017, 0.6207, 0.1748, 0.0958, 0.4569, 0.8215
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.1151, 0.0010, 0.0019, 0.0010, 0.4506, 0.9003
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.6657, 0.2812, 0.3954, 0.2464, 0.5484, 0.8573
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.4052, 0.7243, 0.5196, 0.3510, 0.6042, 0.8676
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.3069, 0.8240, 0.4472, 0.2880, 0.4593, 0.6786
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1466, 0.9119, 0.2526, 0.1446, 0.3768, 0.6333
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.3126, 0.6844, 0.4292, 0.2732, 0.5753, 0.8828
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2394, 0.6351, 0.3477, 0.2104, 0.4928, 0.7878
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1818, 0.7051, 0.2890, 0.1689, 0.4453, 0.7367
Jiuzhai valley (UAV-0.5m), palu, 0.0456, 0.1415, 0.0690, 0.0357, 0.4963, 0.9570
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.5812, 0.4315, 0.4953, 0.3292, 0.6335, 0.9397
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.2719, 0.4776, 0.3465, 0.2096, 0.5722, 0.9360
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.4868, 0.3990, 0.4385, 0.2809, 0.6168, 0.9536
Lombok, Hokkaido Iburi-Tobu, 0.2948, 0.1579, 0.2057, 0.1146, 0.4998, 0.8866
Lombok, Jiuzhai valley (UAV-0.2m), 0.7752, 0.3208, 0.4538, 0.2935, 0.5445, 0.8116
Lombok, Jiuzhai valley (UAV-0.5m), 0.5588, 0.4958, 0.5254, 0.3563, 0.6237, 0.8973
Lombok, Longxi River (SAT), 0.4656, 0.0082, 0.0161, 0.0081, 0.4544, 0.9008
Lombok, Longxi River (UAV), 0.0993, 0.1666, 0.1244, 0.0663, 0.3331, 0.6109
Lombok, Mengdong Township, 0.0277, 0.0272, 0.0274, 0.0139, 0.4114, 0.8094
Lombok, Moxi town (UAV-0.2m), 0.2076, 0.4307, 0.2802, 0.1629, 0.3942, 0.6509
Lombok, Moxi town (UAV-1m), 0.0988, 0.9189, 0.1785, 0.0980, 0.2424, 0.4251
Lombok, Moxitaidi (SAT), 0.0932, 0.0906, 0.0919, 0.0481, 0.4661, 0.8847
Lombok, Moxitaidi (UAV-0.6m), 0.1562, 0.0826, 0.1080, 0.0571, 0.4674, 0.8786
Lombok, Moxitaidi (UAV-1m), 0.0799, 0.1270, 0.0981, 0.0516, 0.4362, 0.8226
Lombok, palu, 0.1911, 0.2549, 0.2185, 0.1226, 0.5510, 0.9795
Lombok, Tiburon Peninsula (planet), 0.5464, 0.0662, 0.1180, 0.0627, 0.4973, 0.9322
Lombok, Tiburon Peninsula (Sentinel), 0.3537, 0.3293, 0.3411, 0.2056, 0.5799, 0.9548
Lombok, Wenchuan, 0.3198, 0.4155, 0.3614, 0.2206, 0.5763, 0.9333
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.7885, 0.2348, 0.3619, 0.2209, 0.5711, 0.9230
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 0.5050, 0.6827, 0.5806, 0.4090, 0.5601, 0.7593
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 0.3330, 0.6900, 0.4492, 0.2896, 0.5395, 0.8060
Longxi River (SAT), Lombok, 0.0805, 0.4022, 0.1342, 0.0719, 0.4559, 0.8418
Longxi River (SAT), Longxi River (UAV), 0.1072, 0.0443, 0.0627, 0.0324, 0.4055, 0.7802
Longxi River (SAT), Mengdong Township, 0.4871, 0.2779, 0.3539, 0.2150, 0.5559, 0.8996
Longxi River (SAT), Moxi town (UAV-0.2m), 0.2670, 0.6742, 0.3825, 0.2365, 0.4261, 0.6566
Longxi River (SAT), Moxi town (UAV-1m), 0.1246, 0.3373, 0.1819, 0.1001, 0.4445, 0.7938
Longxi River (SAT), Moxitaidi (SAT), 0.6631, 0.0824, 0.1466, 0.0791, 0.5085, 0.9382
Longxi River (SAT), Moxitaidi (UAV-0.6m), 0.2828, 0.5497, 0.3735, 0.2296, 0.5285, 0.8358
Longxi River (SAT), Moxitaidi (UAV-1m), 0.2131, 0.3706, 0.2706, 0.1565, 0.5002, 0.8483
Longxi River (SAT), palu, 0.0148, 0.0697, 0.0244, 0.0123, 0.4747, 0.9371
Longxi River (SAT), Tiburon Peninsula (planet), 0.2043, 0.4404, 0.2791, 0.1622, 0.5006, 0.8439
Longxi River (SAT), Tiburon Peninsula (Sentinel), 0.0778, 0.0351, 0.0483, 0.0248, 0.4878, 0.9509
Longxi River (SAT), Wenchuan, 0.2461, 0.3178, 0.2774, 0.1610, 0.5423, 0.9248
Longxi River (UAV), Hokkaido Iburi-Tobu, 0.2227, 0.8413, 0.3522, 0.2138, 0.4509, 0.7124
Longxi River (UAV), Jiuzhai valley (UAV-0.2m), 0.6725, 0.5498, 0.6050, 0.4337, 0.6157, 0.8248
Longxi River (UAV), Jiuzhai valley (UAV-0.5m), 0.5852, 0.6004, 0.5927, 0.4212, 0.6598, 0.9054
Longxi River (UAV), Lombok, 0.0818, 0.5804, 0.1434, 0.0772, 0.4310, 0.7887
Longxi River (UAV), Longxi River (SAT), 0.1335, 0.0125, 0.0229, 0.0116, 0.4528, 0.8941
Longxi River (UAV), Mengdong Township, 0.2295, 0.9009, 0.3658, 0.2238, 0.4423, 0.6910
Longxi River (UAV), Moxi town (UAV-0.2m), 0.2545, 0.5383, 0.3456, 0.2089, 0.4287, 0.6784
Longxi River (UAV), Moxi town (UAV-1m), 0.1304, 0.7820, 0.2235, 0.1258, 0.3679, 0.6307
Longxi River (UAV), Moxitaidi (SAT), 0.1860, 0.8420, 0.3048, 0.1798, 0.4591, 0.7526
Longxi River (UAV), Moxitaidi (UAV-0.6m), 0.1876, 0.6410, 0.2903, 0.1698, 0.4369, 0.7209
Longxi River (UAV), Moxitaidi (UAV-1m), 0.1449, 0.7292, 0.2418, 0.1375, 0.3850, 0.6528
Longxi River (UAV), palu, 0.0346, 0.3888, 0.0635, 0.0328, 0.4516, 0.8709
Longxi River (UAV), Tiburon Peninsula (planet), 0.1451, 0.9256, 0.2509, 0.1435, 0.3693, 0.6208
Longxi River (UAV), Tiburon Peninsula (Sentinel), 0.0968, 0.8332, 0.1734, 0.0949, 0.4020, 0.7176
Longxi River (UAV), Wenchuan, 0.4565, 0.5640, 0.5046, 0.3374, 0.6429, 0.9497
Mengdong Township, Hokkaido Iburi-Tobu, 0.7916, 0.1612, 0.2678, 0.1546, 0.5357, 0.9181
Mengdong Township, Jiuzhai valley (UAV-0.2m), 0.8062, 0.5864, 0.6789, 0.5139, 0.6780, 0.8647
Mengdong Township, Jiuzhai valley (UAV-0.5m), 0.8172, 0.4687, 0.5957, 0.4242, 0.6736, 0.9271
Mengdong Township, Lombok, 0.0608, 0.0998, 0.0756, 0.0393, 0.4823, 0.9256
Mengdong Township, Longxi River (SAT), 0.2736, 0.0032, 0.0064, 0.0032, 0.4518, 0.9004
Mengdong Township, Longxi River (UAV), 0.6231, 0.0820, 0.1450, 0.0782, 0.4577, 0.8394
Mengdong Township, Moxi town (UAV-0.2m), 0.6130, 0.1340, 0.2200, 0.1236, 0.4852, 0.8501
Mengdong Township, Moxi town (UAV-1m), 0.0752, 0.0301, 0.0430, 0.0220, 0.4654, 0.9089
Mengdong Township, Moxitaidi (SAT), 0.7013, 0.2302, 0.3466, 0.2096, 0.5765, 0.9441
Mengdong Township, Moxitaidi (UAV-0.6m), 0.5463, 0.3699, 0.4411, 0.2830, 0.5983, 0.9165
Mengdong Township, Moxitaidi (UAV-1m), 0.5103, 0.2935, 0.3726, 0.2290, 0.5761, 0.9250
Mengdong Township, palu, 0.0362, 0.0661, 0.0468, 0.0239, 0.4968, 0.9696
Mengdong Township, Tiburon Peninsula (planet), 0.4067, 0.6269, 0.4933, 0.3274, 0.6175, 0.9116
Mengdong Township, Tiburon Peninsula (Sentinel), 0.2060, 0.0947, 0.1298, 0.0694, 0.5120, 0.9548
Mengdong Township, Wenchuan, 0.5735, 0.3823, 0.4587, 0.2976, 0.6280, 0.9590
Moxi town (UAV-0.2m), Hokkaido Iburi-Tobu, 0.7045, 0.1126, 0.1941, 0.1075, 0.5098, 0.9131
Moxi town (UAV-0.2m), Jiuzhai valley (UAV-0.2m), 0.6954, 0.7831, 0.7367, 0.5831, 0.7071, 0.8634
Moxi town (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.5933, 0.7844, 0.6756, 0.5101, 0.7076, 0.9136
Moxi town (UAV-0.2m), Lombok, 0.0838, 0.3490, 0.1351, 0.0725, 0.4674, 0.8639
Moxi town (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4502, 0.9003
Moxi town (UAV-0.2m), Longxi River (UAV), 0.4883, 0.0128, 0.0250, 0.0126, 0.4231, 0.8340
Moxi town (UAV-0.2m), Mengdong Township, 0.5221, 0.1876, 0.2760, 0.1601, 0.5305, 0.9027
Moxi town (UAV-0.2m), Moxi town (UAV-1m), 0.3781, 0.3955, 0.3866, 0.2396, 0.5760, 0.9147
Moxi town (UAV-0.2m), Moxitaidi (SAT), 0.8328, 0.1870, 0.3054, 0.1803, 0.5624, 0.9452
Moxi town (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.5051, 0.3100, 0.3842, 0.2378, 0.5734, 0.9115
Moxi town (UAV-0.2m), Moxitaidi (UAV-1m), 0.4064, 0.3304, 0.3645, 0.2229, 0.5666, 0.9125
Moxi town (UAV-0.2m), palu, 0.0011, 0.0013, 0.0012, 0.0006, 0.4880, 0.9754
Moxi town (UAV-0.2m), Tiburon Peninsula (planet), 0.4707, 0.5446, 0.5050, 0.3378, 0.6308, 0.9267
Moxi town (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.2177, 0.0359, 0.0617, 0.0318, 0.4965, 0.9611
Moxi town (UAV-0.2m), Wenchuan, 0.2856, 0.3372, 0.3093, 0.1829, 0.5567, 0.9316
Moxi town (UAV-1m), Hokkaido Iburi-Tobu, 0.7990, 0.1373, 0.2343, 0.1327, 0.5241, 0.9166
Moxi town (UAV-1m), Jiuzhai valley (UAV-0.2m), 0.7437, 0.6415, 0.6888, 0.5254, 0.6788, 0.8586
Moxi town (UAV-1m), Jiuzhai valley (UAV-0.5m), 0.5365, 0.6424, 0.5847, 0.4131, 0.6501, 0.8954
Moxi town (UAV-1m), Lombok, 0.0988, 0.3794, 0.1567, 0.0850, 0.4796, 0.8756
Moxi town (UAV-1m), Longxi River (SAT), 0.1457, 0.0016, 0.0031, 0.0016, 0.4508, 0.9002
Moxi town (UAV-1m), Longxi River (UAV), 0.8607, 0.0691, 0.1279, 0.0683, 0.4551, 0.8437
Moxi town (UAV-1m), Mengdong Township, 0.5552, 0.3004, 0.3899, 0.2422, 0.5732, 0.9070
Moxi town (UAV-1m), Moxi town (UAV-0.2m), 0.6212, 0.6141, 0.6176, 0.4468, 0.6570, 0.8801
Moxi town (UAV-1m), Moxitaidi (SAT), 0.6275, 0.3584, 0.4562, 0.2955, 0.6196, 0.9450
Moxi town (UAV-1m), Moxitaidi (UAV-0.6m), 0.3306, 0.3603, 0.3448, 0.2083, 0.5412, 0.8781
Moxi town (UAV-1m), Moxitaidi (UAV-1m), 0.3994, 0.3690, 0.3836, 0.2373, 0.5724, 0.9100
Moxi town (UAV-1m), palu, 0.0358, 0.0419, 0.0386, 0.0197, 0.4981, 0.9765
Moxi town (UAV-1m), Tiburon Peninsula (planet), 0.4333, 0.7495, 0.5491, 0.3785, 0.6447, 0.9156
Moxi town (UAV-1m), Tiburon Peninsula (Sentinel), 0.3509, 0.1436, 0.2038, 0.1135, 0.5367, 0.9601
Moxi town (UAV-1m), Wenchuan, 0.5166, 0.2514, 0.3382, 0.2035, 0.5791, 0.9553
Moxitaidi (SAT), Hokkaido Iburi-Tobu, 0.6167, 0.0740, 0.1321, 0.0707, 0.4899, 0.9097
Moxitaidi (SAT), Jiuzhai valley (UAV-0.2m), 0.1210, 0.1904, 0.1479, 0.0799, 0.2593, 0.4648
Moxitaidi (SAT), Jiuzhai valley (UAV-0.5m), 0.1549, 0.3806, 0.2202, 0.1237, 0.4002, 0.6909
Moxitaidi (SAT), Lombok, 0.0205, 0.0981, 0.0340, 0.0173, 0.4234, 0.8301
Moxitaidi (SAT), Longxi River (SAT), 0.2398, 0.8319, 0.3723, 0.2287, 0.4629, 0.7220
Moxitaidi (SAT), Longxi River (UAV), 0.2444, 0.3921, 0.3012, 0.1773, 0.4271, 0.6980
Moxitaidi (SAT), Mengdong Township, 0.2596, 0.3816, 0.3090, 0.1827, 0.5037, 0.8312
Moxitaidi (SAT), Moxi town (UAV-0.2m), 0.3380, 0.3995, 0.3662, 0.2241, 0.4956, 0.7818
Moxitaidi (SAT), Moxi town (UAV-1m), 0.1665, 0.0386, 0.0627, 0.0324, 0.4768, 0.9215
Moxitaidi (SAT), Moxitaidi (UAV-0.6m), 0.1751, 0.7649, 0.2850, 0.1662, 0.3997, 0.6582
Moxitaidi (SAT), Moxitaidi (UAV-1m), 0.2111, 0.6290, 0.3161, 0.1877, 0.4854, 0.7933
Moxitaidi (SAT), palu, 0.0056, 0.0199, 0.0087, 0.0044, 0.4766, 0.9488
Moxitaidi (SAT), Tiburon Peninsula (planet), 0.3735, 0.2083, 0.2675, 0.1544, 0.5375, 0.9217
Moxitaidi (SAT), Tiburon Peninsula (Sentinel), 0.1324, 0.0272, 0.0452, 0.0231, 0.4911, 0.9591
Moxitaidi (SAT), Wenchuan, 0.1176, 0.6257, 0.1980, 0.1099, 0.4364, 0.7696
Moxitaidi (UAV-0.6m), Hokkaido Iburi-Tobu, 0.8490, 0.0529, 0.0996, 0.0524, 0.4815, 0.9111
Moxitaidi (UAV-0.6m), Jiuzhai valley (UAV-0.2m), 0.7872, 0.6281, 0.6987, 0.5369, 0.6904, 0.8678
Moxitaidi (UAV-0.6m), Jiuzhai valley (UAV-0.5m), 0.7688, 0.5229, 0.6225, 0.4519, 0.6872, 0.9273
