epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.768, 0.977, 0.5896, 0.6772, 0.6304, 0.4603, 0.8102
2, 1.343, 0.840, 0.6733, 0.7589, 0.7135, 0.5547, 0.8544
3, 1.199, 0.705, 0.6155, 0.8300, 0.7068, 0.5466, 0.8354
4, 1.145, 0.730, 0.6587, 0.8001, 0.7226, 0.5656, 0.8531
5, 1.133, 0.745, 0.6582, 0.8170, 0.7291, 0.5736, 0.8549
6, 1.154, 0.686, 0.6439, 0.8338, 0.7267, 0.5707, 0.8501
7, 1.106, 0.687, 0.6495, 0.8328, 0.7298, 0.5745, 0.8526
8, 1.097, 0.666, 0.5928, 0.8760, 0.7071, 0.5469, 0.8265
9, 1.082, 0.684, 0.6708, 0.8130, 0.7351, 0.5811, 0.8599
10, 1.091, 0.672, 0.6397, 0.8484, 0.7294, 0.5740, 0.8495
11, 1.064, 0.666, 0.6298, 0.8564, 0.7258, 0.5696, 0.8453
12, 1.066, 0.656, 0.6762, 0.8195, 0.7410, 0.5886, 0.8631
13, 1.055, 0.661, 0.6568, 0.8385, 0.7366, 0.5830, 0.8566
14, 1.057, 0.630, 0.6305, 0.8598, 0.7275, 0.5717, 0.8460
15, 1.037, 0.633, 0.6536, 0.8326, 0.7323, 0.5777, 0.8545
16, 1.046, 0.687, 0.7056, 0.8047, 0.7519, 0.6024, 0.8731
17, 1.036, 0.642, 0.6932, 0.8066, 0.7456, 0.5944, 0.8684
18, 1.026, 0.630, 0.6766, 0.8289, 0.7451, 0.5937, 0.8644
19, 1.017, 0.624, 0.6409, 0.8611, 0.7348, 0.5808, 0.8515
20, 1.010, 0.657, 0.7176, 0.7894, 0.7518, 0.6023, 0.8754
21, 1.026, 0.619, 0.6382, 0.8618, 0.7333, 0.5790, 0.8502
22, 1.008, 0.616, 0.7216, 0.7957, 0.7569, 0.6088, 0.8778
23, 0.995, 0.614, 0.6181, 0.8846, 0.7277, 0.5720, 0.8418
24, 1.022, 0.602, 0.6657, 0.8460, 0.7451, 0.5938, 0.8616
25, 1.035, 0.613, 0.6528, 0.8541, 0.7400, 0.5873, 0.8565
26, 1.011, 0.587, 0.6604, 0.8557, 0.7455, 0.5942, 0.8603
27, 1.001, 0.591, 0.6528, 0.8651, 0.7441, 0.5924, 0.8577
28, 0.986, 0.601, 0.6417, 0.8738, 0.7400, 0.5873, 0.8532
29, 0.982, 0.588, 0.6778, 0.8491, 0.7539, 0.6049, 0.8675
30, 0.987, 0.591, 0.6278, 0.8868, 0.7351, 0.5812, 0.8472
31, 0.983, 0.581, 0.6671, 0.8614, 0.7519, 0.6024, 0.8641
32, 0.983, 0.581, 0.6709, 0.8571, 0.7527, 0.6034, 0.8653
33, 0.963, 0.601, 0.6916, 0.8425, 0.7596, 0.6124, 0.8725
34, 0.959, 0.622, 0.7229, 0.8089, 0.7635, 0.6175, 0.8802
35, 0.957, 0.608, 0.6932, 0.8426, 0.7607, 0.6138, 0.8732
36, 0.961, 0.594, 0.7341, 0.8105, 0.7704, 0.6266, 0.8845
37, 0.967, 0.636, 0.7106, 0.8205, 0.7616, 0.6150, 0.8772
38, 0.969, 0.615, 0.7049, 0.8302, 0.7624, 0.6161, 0.8763
39, 0.959, 0.590, 0.6997, 0.8400, 0.7634, 0.6174, 0.8756
40, 0.979, 0.594, 0.6913, 0.8470, 0.7613, 0.6146, 0.8730
