epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.735, 0.942, 0.3201, 0.6257, 0.4236, 0.2687, 0.7178
2, 1.538, 0.864, 0.3264, 0.7840, 0.4610, 0.2995, 0.6962
3, 1.393, 0.780, 0.3804, 0.8006, 0.5157, 0.3474, 0.7509
4, 1.332, 0.755, 0.4662, 0.7171, 0.5650, 0.3938, 0.8171
5, 1.329, 0.885, 0.3673, 0.7778, 0.4990, 0.3325, 0.7412
6, 1.304, 0.788, 0.5958, 0.5808, 0.5882, 0.4166, 0.8653
7, 1.275, 0.732, 0.5131, 0.7079, 0.5950, 0.4235, 0.8403
8, 1.280, 0.763, 0.6199, 0.5347, 0.5742, 0.4027, 0.8686
9, 1.228, 0.702, 0.4697, 0.7965, 0.5909, 0.4194, 0.8173
10, 1.222, 0.672, 0.5088, 0.7597, 0.6094, 0.4383, 0.8387
11, 1.193, 0.668, 0.5000, 0.7758, 0.6081, 0.4368, 0.8343
12, 1.193, 0.680, 0.4697, 0.8118, 0.5951, 0.4236, 0.8169
13, 1.136, 0.682, 0.5584, 0.7299, 0.6327, 0.4628, 0.8596
14, 1.155, 0.648, 0.5373, 0.7592, 0.6292, 0.4590, 0.8518
15, 1.205, 0.640, 0.5257, 0.7625, 0.6224, 0.4518, 0.8467
16, 1.166, 0.672, 0.6088, 0.6664, 0.6363, 0.4666, 0.8738
17, 1.132, 0.645, 0.6100, 0.6838, 0.6448, 0.4758, 0.8752
18, 1.128, 0.628, 0.5570, 0.7502, 0.6393, 0.4698, 0.8597
19, 1.105, 0.692, 0.6129, 0.6864, 0.6475, 0.4788, 0.8762
20, 1.076, 0.661, 0.6068, 0.6900, 0.6458, 0.4768, 0.8746
21, 1.128, 0.617, 0.5608, 0.7529, 0.6428, 0.4736, 0.8614
22, 1.179, 0.629, 0.4800, 0.8326, 0.6089, 0.4378, 0.8228
23, 1.080, 0.631, 0.5197, 0.8077, 0.6325, 0.4625, 0.8445
24, 1.095, 0.660, 0.6254, 0.6809, 0.6519, 0.4836, 0.8796
25, 1.063, 0.615, 0.5492, 0.7762, 0.6433, 0.4742, 0.8574
26, 1.047, 0.670, 0.5958, 0.7258, 0.6544, 0.4863, 0.8730
27, 1.076, 0.652, 0.6106, 0.7064, 0.6550, 0.4870, 0.8767
28, 1.044, 0.590, 0.5797, 0.7602, 0.6578, 0.4901, 0.8690
29, 1.052, 0.593, 0.5391, 0.8052, 0.6458, 0.4769, 0.8537
30, 1.065, 0.611, 0.6142, 0.7208, 0.6632, 0.4961, 0.8787
31, 1.026, 0.629, 0.5525, 0.7927, 0.6512, 0.4828, 0.8593
32, 1.045, 0.616, 0.4835, 0.8633, 0.6198, 0.4491, 0.8245
33, 1.026, 0.602, 0.6002, 0.7464, 0.6653, 0.4985, 0.8756
34, 1.015, 0.680, 0.6143, 0.7332, 0.6685, 0.5021, 0.8795
35, 1.012, 0.588, 0.5606, 0.7906, 0.6560, 0.4881, 0.8626
36, 1.028, 0.631, 0.6058, 0.7288, 0.6616, 0.4943, 0.8765
37, 1.051, 0.609, 0.6131, 0.7439, 0.6722, 0.5063, 0.8798
38, 0.991, 0.596, 0.6182, 0.7291, 0.6691, 0.5027, 0.8805
39, 1.010, 0.598, 0.5407, 0.7926, 0.6429, 0.4737, 0.8541
40, 1.023, 0.622, 0.5248, 0.8226, 0.6408, 0.4715, 0.8472
