epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.725, 0.816, 0.0000, 0.0000, 0.0000, 0.0000, 0.8975
2, 1.435, 0.564, 0.3868, 0.6860, 0.4947, 0.3286, 0.8564
3, 1.162, 0.539, 0.3958, 0.7417, 0.5162, 0.3479, 0.8575
4, 1.127, 0.508, 0.3921, 0.7604, 0.5174, 0.3490, 0.8546
5, 1.128, 0.515, 0.4138, 0.7162, 0.5246, 0.3555, 0.8670
6, 1.105, 0.505, 0.4151, 0.7221, 0.5271, 0.3579, 0.8672
7, 1.097, 0.498, 0.4527, 0.6373, 0.5294, 0.3600, 0.8839
8, 1.098, 0.488, 0.4459, 0.6576, 0.5314, 0.3619, 0.8812
9, 1.091, 0.511, 0.4263, 0.7036, 0.5309, 0.3614, 0.8726
10, 1.085, 0.483, 0.4029, 0.7539, 0.5251, 0.3560, 0.8603
11, 1.076, 0.492, 0.4076, 0.7344, 0.5242, 0.3552, 0.8634
12, 1.074, 0.484, 0.4101, 0.7449, 0.5290, 0.3596, 0.8641
13, 1.071, 0.490, 0.4342, 0.6920, 0.5336, 0.3639, 0.8760
14, 1.066, 0.484, 0.4125, 0.7440, 0.5308, 0.3613, 0.8652
15, 1.067, 0.492, 0.3879, 0.7827, 0.5187, 0.3502, 0.8511
16, 1.068, 0.483, 0.4120, 0.7464, 0.5309, 0.3614, 0.8648
17, 1.060, 0.474, 0.4277, 0.7118, 0.5344, 0.3646, 0.8729
18, 1.057, 0.507, 0.4416, 0.6832, 0.5365, 0.3666, 0.8790
19, 1.058, 0.482, 0.3981, 0.7715, 0.5252, 0.3561, 0.8571
20, 1.062, 0.492, 0.4293, 0.7117, 0.5356, 0.3657, 0.8735
21, 1.049, 0.485, 0.4370, 0.6951, 0.5366, 0.3667, 0.8770
22, 1.055, 0.478, 0.4059, 0.7581, 0.5287, 0.3594, 0.8615
23, 1.046, 0.480, 0.4488, 0.6772, 0.5398, 0.3697, 0.8817
24, 1.045, 0.484, 0.4208, 0.7347, 0.5351, 0.3653, 0.8692
25, 1.037, 0.462, 0.4335, 0.7132, 0.5393, 0.3692, 0.8751
26, 1.050, 0.472, 0.4240, 0.7319, 0.5369, 0.3670, 0.8706
27, 1.037, 0.474, 0.4067, 0.7662, 0.5313, 0.3618, 0.8615
28, 1.035, 0.475, 0.4433, 0.6970, 0.5420, 0.3717, 0.8793
29, 1.040, 0.469, 0.4185, 0.7470, 0.5364, 0.3665, 0.8677
30, 1.035, 0.472, 0.4586, 0.6661, 0.5432, 0.3729, 0.8852
31, 1.044, 0.472, 0.4249, 0.7319, 0.5376, 0.3676, 0.8710
32, 1.033, 0.470, 0.4023, 0.7824, 0.5313, 0.3618, 0.8586
33, 1.029, 0.465, 0.4159, 0.7524, 0.5357, 0.3658, 0.8663
34, 1.029, 0.467, 0.4506, 0.6856, 0.5438, 0.3735, 0.8821
35, 1.034, 0.482, 0.4547, 0.6717, 0.5423, 0.3720, 0.8838
36, 1.030, 0.473, 0.3902, 0.8040, 0.5255, 0.3564, 0.8512
37, 1.029, 0.457, 0.4257, 0.7360, 0.5394, 0.3693, 0.8712
38, 1.027, 0.465, 0.4081, 0.7760, 0.5349, 0.3651, 0.8617
39, 1.028, 0.466, 0.4236, 0.7446, 0.5400, 0.3699, 0.8700
40, 1.024, 0.472, 0.4145, 0.7498, 0.5338, 0.3641, 0.8658
