epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.694, 0.782, 0.0000, 0.0000, 0.0000, 0.0000, 0.9058
2, 1.556, 0.751, 0.1597, 0.3236, 0.2138, 0.1197, 0.7759
3, 1.487, 0.688, 0.1487, 0.0728, 0.0978, 0.0514, 0.8734
4, 1.414, 0.641, 0.3071, 0.5351, 0.3902, 0.2424, 0.8426
5, 1.376, 0.609, 0.4234, 0.3558, 0.3867, 0.2397, 0.8937
6, 1.342, 0.614, 0.4121, 0.4473, 0.4290, 0.2731, 0.8879
7, 1.312, 0.615, 0.3149, 0.6766, 0.4298, 0.2737, 0.8310
8, 1.287, 0.592, 0.3429, 0.6323, 0.4447, 0.2859, 0.8513
9, 1.290, 0.614, 0.3069, 0.6469, 0.4163, 0.2629, 0.8292
10, 1.258, 0.562, 0.4084, 0.5352, 0.4633, 0.3015, 0.8832
11, 1.281, 0.569, 0.4770, 0.4311, 0.4529, 0.2927, 0.9019
12, 1.248, 0.586, 0.3406, 0.6580, 0.4488, 0.2893, 0.8478
13, 1.257, 0.654, 0.4790, 0.4481, 0.4630, 0.3012, 0.9021
14, 1.234, 0.569, 0.4247, 0.5533, 0.4806, 0.3163, 0.8874
15, 1.220, 0.546, 0.4215, 0.5763, 0.4869, 0.3218, 0.8856
16, 1.220, 0.558, 0.3850, 0.6250, 0.4764, 0.3127, 0.8707
17, 1.216, 0.555, 0.4787, 0.4779, 0.4783, 0.3143, 0.9018
18, 1.235, 0.541, 0.4017, 0.6234, 0.4886, 0.3233, 0.8771
19, 1.220, 0.571, 0.3559, 0.7100, 0.4742, 0.3107, 0.8517
20, 1.207, 0.651, 0.2957, 0.7309, 0.4211, 0.2667, 0.8108
21, 1.241, 0.528, 0.4347, 0.5804, 0.4971, 0.3308, 0.8894
22, 1.197, 0.521, 0.4273, 0.6053, 0.5009, 0.3342, 0.8864
23, 1.177, 0.520, 0.4315, 0.6164, 0.5077, 0.3402, 0.8874
24, 1.162, 0.522, 0.3829, 0.6970, 0.4943, 0.3283, 0.8657
25, 1.166, 0.563, 0.4849, 0.5076, 0.4960, 0.3298, 0.9029
26, 1.141, 0.529, 0.3735, 0.7263, 0.4933, 0.3274, 0.8595
27, 1.126, 0.574, 0.4757, 0.5459, 0.5084, 0.3408, 0.9006
28, 1.134, 0.524, 0.3684, 0.7489, 0.4938, 0.3279, 0.8554
29, 1.128, 0.522, 0.3890, 0.6954, 0.4989, 0.3324, 0.8685
30, 1.116, 0.506, 0.3913, 0.7177, 0.5065, 0.3391, 0.8683
31, 1.105, 0.518, 0.3969, 0.6841, 0.5023, 0.3354, 0.8724
32, 1.139, 0.530, 0.3774, 0.7303, 0.4977, 0.3313, 0.8612
33, 1.104, 0.499, 0.4494, 0.6157, 0.5196, 0.3509, 0.8928
34, 1.092, 0.514, 0.4621, 0.5940, 0.5198, 0.3512, 0.8967
35, 1.090, 0.485, 0.4322, 0.6626, 0.5232, 0.3543, 0.8863
36, 1.116, 0.500, 0.4270, 0.6630, 0.5194, 0.3508, 0.8845
37, 1.083, 0.493, 0.4452, 0.6459, 0.5271, 0.3578, 0.8909
38, 1.061, 0.491, 0.4456, 0.6344, 0.5235, 0.3545, 0.8912
39, 1.075, 0.518, 0.3472, 0.7307, 0.4707, 0.3078, 0.8453
40, 1.062, 0.505, 0.4139, 0.6946, 0.5187, 0.3501, 0.8786
