epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.620, 0.557, 0.0000, 0.0000, 0.0000, 0.0000, 0.9632
2, 1.423, 0.457, 0.0000, 0.0000, 0.0000, 0.0000, 0.9632
3, 1.354, 0.412, 0.0000, 0.0000, 0.0000, 0.0000, 0.9632
4, 1.283, 0.377, 0.0543, 0.0098, 0.0166, 0.0084, 0.9573
5, 1.233, 0.390, 0.1276, 0.0314, 0.0504, 0.0258, 0.9565
6, 1.212, 0.380, 0.2004, 0.5106, 0.2878, 0.1681, 0.9070
7, 1.176, 0.363, 0.2193, 0.5052, 0.3058, 0.1805, 0.9156
8, 1.140, 0.340, 0.4993, 0.1631, 0.2459, 0.1402, 0.9632
9, 1.104, 0.335, 0.3516, 0.3967, 0.3728, 0.2291, 0.9509
10, 1.102, 0.317, 0.2834, 0.5108, 0.3645, 0.2229, 0.9345
11, 1.085, 0.334, 0.2810, 0.5174, 0.3642, 0.2226, 0.9336
12, 1.074, 0.308, 0.3515, 0.4250, 0.3847, 0.2382, 0.9500
13, 1.074, 0.362, 0.3124, 0.4755, 0.3770, 0.2323, 0.9422
14, 1.062, 0.358, 0.4097, 0.3499, 0.3774, 0.2326, 0.9575
15, 1.052, 0.312, 0.4276, 0.3600, 0.3909, 0.2429, 0.9587
16, 1.063, 0.350, 0.3981, 0.3907, 0.3944, 0.2456, 0.9559
17, 1.056, 0.294, 0.3687, 0.4525, 0.4063, 0.2549, 0.9514
18, 1.043, 0.298, 0.3360, 0.4909, 0.3990, 0.2492, 0.9456
19, 1.032, 0.305, 0.3189, 0.5319, 0.3987, 0.2490, 0.9410
20, 1.042, 0.323, 0.4044, 0.4089, 0.4067, 0.2552, 0.9561
21, 1.022, 0.299, 0.3325, 0.5277, 0.4079, 0.2562, 0.9437
22, 1.017, 0.287, 0.3557, 0.5096, 0.4190, 0.2650, 0.9480
23, 1.014, 0.304, 0.4788, 0.3734, 0.4195, 0.2655, 0.9620
24, 0.999, 0.302, 0.3663, 0.5038, 0.4242, 0.2692, 0.9497
25, 0.985, 0.285, 0.3756, 0.5173, 0.4352, 0.2781, 0.9506
26, 0.998, 0.317, 0.5073, 0.3701, 0.4280, 0.2723, 0.9636
27, 1.003, 0.283, 0.4224, 0.4503, 0.4359, 0.2787, 0.9571
28, 0.989, 0.291, 0.3756, 0.5382, 0.4424, 0.2841, 0.9501
29, 0.992, 0.315, 0.4784, 0.4083, 0.4406, 0.2825, 0.9619
30, 1.007, 0.276, 0.4047, 0.5032, 0.4486, 0.2891, 0.9545
31, 0.970, 0.290, 0.4210, 0.4847, 0.4506, 0.2908, 0.9565
32, 0.988, 0.296, 0.3310, 0.5973, 0.4259, 0.2706, 0.9408
33, 0.973, 0.326, 0.4869, 0.4077, 0.4438, 0.2852, 0.9624
34, 0.990, 0.310, 0.5011, 0.4026, 0.4465, 0.2874, 0.9633
35, 0.951, 0.296, 0.3887, 0.5485, 0.4550, 0.2945, 0.9517
36, 0.962, 0.279, 0.4123, 0.5177, 0.4591, 0.2979, 0.9551
37, 0.963, 0.314, 0.2804, 0.6691, 0.3952, 0.2463, 0.9247
38, 0.959, 0.291, 0.3368, 0.6045, 0.4326, 0.2760, 0.9417
39, 0.959, 0.283, 0.3442, 0.6088, 0.4398, 0.2819, 0.9430
40, 0.970, 0.292, 0.3661, 0.5603, 0.4428, 0.2844, 0.9481
