epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.710, 0.693, 0.0000, 0.0000, 0.0000, 0.0000, 0.9434
2, 1.571, 0.559, 0.0000, 0.0000, 0.0000, 0.0000, 0.9434
3, 1.478, 0.500, 0.0000, 0.0000, 0.0000, 0.0000, 0.9434
4, 1.370, 0.454, 0.0959, 0.1216, 0.1072, 0.0566, 0.8854
5, 1.288, 0.488, 0.1942, 0.5159, 0.2822, 0.1643, 0.8515
6, 1.265, 0.438, 0.1031, 0.1316, 0.1156, 0.0613, 0.8861
7, 1.241, 0.433, 0.1983, 0.4187, 0.2691, 0.1555, 0.8713
8, 1.233, 0.429, 0.2101, 0.5260, 0.3002, 0.1766, 0.8613
9, 1.179, 0.374, 0.3531, 0.5359, 0.4257, 0.2704, 0.9182
10, 1.100, 0.358, 0.3518, 0.5769, 0.4371, 0.2797, 0.9159
11, 1.060, 0.370, 0.4033, 0.4996, 0.4463, 0.2872, 0.9299
12, 1.043, 0.370, 0.2855, 0.7230, 0.4093, 0.2573, 0.8820
13, 1.066, 0.354, 0.3240, 0.6688, 0.4365, 0.2792, 0.9023
14, 1.031, 0.376, 0.2953, 0.6988, 0.4151, 0.2619, 0.8886
15, 1.039, 0.330, 0.3981, 0.5682, 0.4682, 0.3056, 0.9270
16, 1.010, 0.339, 0.4142, 0.5534, 0.4738, 0.3104, 0.9305
17, 0.997, 0.331, 0.3982, 0.5873, 0.4746, 0.3111, 0.9264
18, 1.016, 0.343, 0.4359, 0.5242, 0.4760, 0.3123, 0.9347
19, 1.013, 0.332, 0.3979, 0.5836, 0.4732, 0.3099, 0.9265
20, 0.989, 0.342, 0.4457, 0.5147, 0.4777, 0.3138, 0.9363
21, 0.999, 0.382, 0.4825, 0.4528, 0.4672, 0.3048, 0.9416
22, 1.054, 0.358, 0.2932, 0.7291, 0.4182, 0.2644, 0.8852
23, 0.994, 0.346, 0.4116, 0.5655, 0.4765, 0.3127, 0.9297
24, 1.007, 0.338, 0.3760, 0.6293, 0.4707, 0.3078, 0.9199
25, 0.999, 0.327, 0.3836, 0.6236, 0.4750, 0.3115, 0.9220
26, 0.992, 0.318, 0.3782, 0.6326, 0.4734, 0.3101, 0.9204
27, 0.988, 0.337, 0.4180, 0.5785, 0.4853, 0.3204, 0.9306
28, 0.974, 0.325, 0.3976, 0.6120, 0.4820, 0.3176, 0.9256
29, 0.977, 0.318, 0.4013, 0.5999, 0.4810, 0.3166, 0.9267
30, 0.987, 0.322, 0.4261, 0.5684, 0.4871, 0.3219, 0.9323
31, 0.985, 0.323, 0.3524, 0.6744, 0.4629, 0.3012, 0.9115
32, 0.976, 0.320, 0.3923, 0.6250, 0.4820, 0.3176, 0.9240
33, 0.967, 0.329, 0.4204, 0.5869, 0.4899, 0.3244, 0.9309
34, 0.972, 0.314, 0.4271, 0.5731, 0.4895, 0.3240, 0.9324
35, 0.978, 0.325, 0.4792, 0.4801, 0.4797, 0.3155, 0.9411
36, 0.964, 0.323, 0.4457, 0.5548, 0.4943, 0.3283, 0.9358
37, 0.968, 0.343, 0.4742, 0.5215, 0.4967, 0.3304, 0.9402
38, 0.975, 0.328, 0.4339, 0.5739, 0.4942, 0.3282, 0.9335
39, 0.966, 0.332, 0.4119, 0.6105, 0.4919, 0.3262, 0.9287
40, 0.976, 0.306, 0.4292, 0.5882, 0.4962, 0.3300, 0.9324
