epoch,train_loss,val_loss,precision,recall,f1,iou,oa
1, 1.423, 0.201, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
2, 1.197, 0.200, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
3, 1.195, 0.200, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
4, 1.185, 0.195, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
5, 1.161, 0.195, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
6, 1.134, 0.176, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
7, 1.108, 0.177, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
8, 1.101, 0.173, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
9, 1.113, 0.191, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
10, 1.093, 0.167, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
11, 1.091, 0.159, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
12, 1.087, 0.160, 0.0000, 0.0000, 0.0000, 0.0000, 0.9884
13, 1.088, 0.176, 0.1074, 0.3020, 0.1584, 0.0860, 0.9627
14, 1.074, 0.152, 0.1489, 0.1025, 0.1214, 0.0646, 0.9828
15, 1.065, 0.164, 0.1422, 0.2870, 0.1902, 0.1051, 0.9716
16, 1.054, 0.156, 0.1497, 0.2398, 0.1843, 0.1015, 0.9753
17, 1.044, 0.154, 0.1831, 0.1690, 0.1758, 0.0964, 0.9816
18, 1.034, 0.169, 0.1883, 0.2219, 0.2037, 0.1134, 0.9798
19, 1.038, 0.185, 0.1681, 0.2493, 0.2008, 0.1116, 0.9769
20, 1.036, 0.210, 0.1648, 0.0790, 0.1068, 0.0564, 0.9847
21, 1.035, 0.156, 0.1587, 0.3304, 0.2144, 0.1201, 0.9719
22, 1.031, 0.168, 0.2013, 0.2231, 0.2117, 0.1184, 0.9807
23, 1.038, 0.150, 0.1996, 0.2442, 0.2196, 0.1234, 0.9798
24, 1.027, 0.171, 0.1809, 0.2740, 0.2179, 0.1223, 0.9771
25, 1.021, 0.151, 0.2325, 0.2009, 0.2155, 0.1208, 0.9830
26, 1.014, 0.158, 0.1702, 0.3197, 0.2221, 0.1249, 0.9740
27, 1.023, 0.153, 0.1904, 0.2828, 0.2276, 0.1284, 0.9777
28, 1.021, 0.159, 0.1902, 0.2582, 0.2191, 0.1230, 0.9786
29, 1.015, 0.160, 0.2056, 0.2238, 0.2143, 0.1200, 0.9809
30, 1.012, 0.159, 0.1729, 0.3366, 0.2284, 0.1289, 0.9736
31, 1.011, 0.179, 0.1394, 0.4309, 0.2107, 0.1177, 0.9625
32, 1.028, 0.166, 0.1798, 0.3162, 0.2293, 0.1295, 0.9753
33, 0.996, 0.168, 0.2081, 0.2329, 0.2198, 0.1235, 0.9808
34, 1.008, 0.159, 0.1725, 0.3662, 0.2346, 0.1329, 0.9722
35, 0.999, 0.150, 0.1879, 0.3178, 0.2362, 0.1339, 0.9761
36, 0.998, 0.148, 0.2207, 0.2258, 0.2232, 0.1256, 0.9817
37, 1.007, 0.151, 0.2022, 0.2827, 0.2358, 0.1336, 0.9787
38, 0.987, 0.160, 0.1822, 0.3105, 0.2297, 0.1297, 0.9758
39, 0.989, 0.172, 0.2107, 0.2876, 0.2432, 0.1385, 0.9792
40, 0.993, 0.175, 0.1438, 0.4295, 0.2155, 0.1208, 0.9637
