region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.5578, 0.2364, 0.3320, 0.1991, 0.9054
Jiuzhai valley (UAV-0.2m), 0.7408, 0.7826, 0.7611, 0.6144, 0.8885
Jiuzhai valley (UAV-0.5m), 0.6278, 0.8675, 0.7285, 0.5729, 0.9221
Lombok, 0.2848, 0.4569, 0.3509, 0.2128, 0.9482
Longxi River (SAT), 0.7340, 0.5166, 0.6064, 0.4351, 0.9404
Longxi River (UAV), 0.5633, 0.7766, 0.6530, 0.4848, 0.8784
Mengdong Township, 0.5990, 0.8108, 0.6890, 0.5255, 0.9202
Moxi town (UAV-0.2m), 0.7954, 0.9369, 0.8604, 0.7550, 0.9438
Moxi town (UAV-1m), 0.5925, 0.8245, 0.6895, 0.5261, 0.9472
Moxitaidi (SAT), 0.6991, 0.8746, 0.7771, 0.6354, 0.9640
Moxitaidi (UAV-0.6m), 0.7270, 0.8906, 0.8005, 0.6674, 0.9534
Moxitaidi (UAV-1m), 0.6092, 0.8931, 0.7244, 0.5678, 0.9470
palu, 0.5666, 0.3759, 0.4520, 0.2920, 0.9890
Tiburon Peninsula (planet), 0.5075, 0.7007, 0.5886, 0.4171, 0.9328
Tiburon Peninsula (Sentinel), 0.5006, 0.6369, 0.5606, 0.3895, 0.9643
Wenchuan, 0.5456, 0.5900, 0.5669, 0.3956, 0.9590
