source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.6294, 0.6000, 0.6143, 0.4433, 0.6140, 0.8162, 0.1265
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.6395, 0.6248, 0.6321, 0.4621, 0.6861, 0.9166, 0.3206
Hokkaido Iburi-Tobu, Lombok, 0.1225, 0.5531, 0.2006, 0.1115, 0.4875, 0.8657, 0.1919
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0926, 0.0121, 0.0214, 0.0108, 0.4505, 0.8904, 0.0229
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.6533, 0.1245, 0.2091, 0.1167, 0.4786, 0.8438, 0.1316
Hokkaido Iburi-Tobu, Mengdong Township, 0.4529, 0.5183, 0.4834, 0.3187, 0.6016, 0.8904, 0.2609
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3426, 0.5210, 0.4134, 0.2605, 0.5032, 0.7667, 0.0890
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.3438, 0.4780, 0.3999, 0.2499, 0.5746, 0.9025, 0.2473
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3369, 0.3988, 0.3653, 0.2235, 0.5659, 0.9107, 0.1905
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.3076, 0.4488, 0.3651, 0.2233, 0.5392, 0.8610, 0.1808
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1843, 0.4883, 0.2676, 0.1545, 0.4719, 0.7971, 0.1636
Hokkaido Iburi-Tobu, palu, 0.0974, 0.3320, 0.1506, 0.0814, 0.5195, 0.9578, 0.1902
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.5498, 0.4636, 0.5031, 0.3361, 0.6356, 0.9371, 0.3053
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1705, 0.6309, 0.2685, 0.1550, 0.5150, 0.8778, 0.2268
Hokkaido Iburi-Tobu, Wenchuan, 0.3366, 0.7219, 0.4591, 0.2980, 0.6090, 0.9227, 0.3893
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.5959, 0.2862, 0.3867, 0.2397, 0.5765, 0.9156, 0.0703
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.6434, 0.7455, 0.6907, 0.5275, 0.7219, 0.9234, 0.2364
Jiuzhai valley (UAV-0.2m), Lombok, 0.0723, 0.2964, 0.1162, 0.0617, 0.4615, 0.8626, 0.0441
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.9511, 0.0094, 0.0187, 0.0094, 0.4556, 0.9018, 0.0014
