source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.4934, 0.6500, 0.5610, 0.3899, 0.5474, 0.7518, 0.0918
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.4446, 0.7566, 0.5601, 0.3890, 0.6199, 0.8637, 0.2125
Hokkaido Iburi-Tobu, Lombok, 0.1374, 0.5055, 0.2161, 0.1211, 0.5038, 0.8882, 0.1756
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.2482, 0.0003, 0.0006, 0.0003, 0.4506, 0.9009, 0.0000
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.6185, 0.0966, 0.1671, 0.0912, 0.4644, 0.8402, 0.0771
Hokkaido Iburi-Tobu, Mengdong Township, 0.3804, 0.3510, 0.3651, 0.2233, 0.5491, 0.8793, 0.2338
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3502, 0.6496, 0.4550, 0.2945, 0.5105, 0.7546, 0.0938
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2582, 0.6464, 0.3690, 0.2263, 0.5346, 0.8498, 0.2184
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3325, 0.5418, 0.4121, 0.2595, 0.5782, 0.9004, 0.1794
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2853, 0.4941, 0.3617, 0.2208, 0.5292, 0.8447, 0.1783
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1728, 0.5113, 0.2583, 0.1483, 0.4582, 0.7771, 0.1675
Hokkaido Iburi-Tobu, palu, 0.1438, 0.3547, 0.2046, 0.1139, 0.5414, 0.9689, 0.2590
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.5198, 0.4749, 0.4964, 0.3301, 0.6309, 0.9339, 0.3256
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1939, 0.6275, 0.2962, 0.1739, 0.5327, 0.8940, 0.2380
Hokkaido Iburi-Tobu, Wenchuan, 0.3673, 0.6833, 0.4778, 0.3139, 0.6219, 0.9321, 0.4070
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.6124, 0.4693, 0.5313, 0.3618, 0.6407, 0.9231, 0.1172
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.6741, 0.7110, 0.6920, 0.5291, 0.7250, 0.9274, 0.2394
Jiuzhai valley (UAV-0.2m), Lombok, 0.1077, 0.2705, 0.1540, 0.0834, 0.4961, 0.9095, 0.0311
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4505, 0.9009, 0.0000
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.5795, 0.1484, 0.2363, 0.1340, 0.4854, 0.8408, 0.0462
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.4781, 0.5464, 0.5100, 0.3422, 0.6162, 0.8961, 0.1541
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.3717, 0.6344, 0.4688, 0.3061, 0.5270, 0.7732, 0.0814
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.2480, 0.3047, 0.2735, 0.1584, 0.5230, 0.8900, 0.0930
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.1799, 0.8638, 0.2978, 0.1749, 0.4485, 0.7376, 0.1392
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2056, 0.8026, 0.3273, 0.1957, 0.4397, 0.7063, 0.1073
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.1649, 0.7009, 0.2670, 0.1541, 0.4227, 0.7078, 0.0866
Jiuzhai valley (UAV-0.2m), palu, 0.0030, 0.0022, 0.0025, 0.0013, 0.4910, 0.9807, 0.0028
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.3827, 0.2039, 0.2660, 0.1534, 0.5376, 0.9228, 0.0766
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.3147, 0.2589, 0.2841, 0.1656, 0.5594, 0.9536, 0.0742
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.4013, 0.4129, 0.4070, 0.2555, 0.5999, 0.9453, 0.1491
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.6900, 0.5346, 0.6024, 0.4311, 0.6810, 0.9344, 0.2368
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7910, 0.6391, 0.7070, 0.5468, 0.6968, 0.8707, 0.1732
Jiuzhai valley (UAV-0.5m), Lombok, 0.0872, 0.5616, 0.1510, 0.0817, 0.4430, 0.8076, 0.0839
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.0006, 0.0000, 0.0000, 0.0000, 0.4500, 0.9000, 0.0000
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.6357, 0.2906, 0.3989, 0.2491, 0.5482, 0.8546, 0.0964
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.4437, 0.6364, 0.5229, 0.3540, 0.6157, 0.8851, 0.2155
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.3361, 0.7657, 0.4671, 0.3047, 0.4957, 0.7244, 0.1062
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1915, 0.8456, 0.3123, 0.1851, 0.4583, 0.7469, 0.1535
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.2925, 0.6309, 0.3997, 0.2498, 0.5613, 0.8780, 0.0881
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2338, 0.5011, 0.3188, 0.1897, 0.4951, 0.8094, 0.1287
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1926, 0.5353, 0.2833, 0.1650, 0.4753, 0.7943, 0.0999
Jiuzhai valley (UAV-0.5m), palu, 0.0270, 0.1158, 0.0438, 0.0224, 0.4827, 0.9431, 0.0193
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.2976, 0.2991, 0.2984, 0.1753, 0.5384, 0.9035, 0.1151
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.3410, 0.2628, 0.2968, 0.1743, 0.5648, 0.9557, 0.0916
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.4272, 0.3684, 0.3956, 0.2466, 0.5973, 0.9489, 0.2131
Lombok, Hokkaido Iburi-Tobu, 0.3278, 0.2004, 0.2488, 0.1421, 0.5137, 0.8875, 0.0991
Lombok, Jiuzhai valley (UAV-0.2m), 0.6888, 0.3743, 0.4850, 0.3202, 0.5534, 0.8061, 0.1385
Lombok, Jiuzhai valley (UAV-0.5m), 0.5286, 0.5441, 0.5363, 0.3664, 0.6256, 0.8921, 0.1948
Lombok, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4497, 0.8994, 0.0001
Lombok, Longxi River (UAV), 0.2058, 0.0731, 0.1078, 0.0570, 0.4270, 0.7994, 0.0917
Lombok, Mengdong Township, 0.0468, 0.0652, 0.0545, 0.0280, 0.4014, 0.7763, 0.0399
Lombok, Moxi town (UAV-0.2m), 0.2370, 0.3677, 0.2882, 0.1684, 0.4321, 0.7135, 0.0734
Lombok, Moxi town (UAV-1m), 0.0966, 0.9304, 0.1750, 0.0959, 0.2297, 0.4037, 0.0721
Lombok, Moxitaidi (SAT), 0.0740, 0.1915, 0.1067, 0.0564, 0.4237, 0.7936, 0.1249
Lombok, Moxitaidi (UAV-0.6m), 0.0496, 0.0475, 0.0485, 0.0249, 0.4292, 0.8343, 0.0493
Lombok, Moxitaidi (UAV-1m), 0.0848, 0.1574, 0.1102, 0.0583, 0.4315, 0.8070, 0.0939
Lombok, palu, 0.1605, 0.2993, 0.2090, 0.1167, 0.5455, 0.9745, 0.3285
Lombok, Tiburon Peninsula (planet), 0.6034, 0.0355, 0.0671, 0.0347, 0.4834, 0.9322, 0.0312
Lombok, Tiburon Peninsula (Sentinel), 0.3066, 0.5902, 0.4035, 0.2528, 0.5947, 0.9380, 0.2438
Lombok, Wenchuan, 0.2843, 0.3212, 0.3017, 0.1776, 0.5545, 0.9324, 0.2277
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.8275, 0.0764, 0.1399, 0.0752, 0.4936, 0.9127, 0.0332
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 0.6069, 0.5731, 0.5895, 0.4180, 0.5958, 0.8052, 0.1110
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 0.3268, 0.6598, 0.4371, 0.2797, 0.5344, 0.8051, 0.1207
Longxi River (SAT), Lombok, 0.0765, 0.4525, 0.1309, 0.0701, 0.4422, 0.8170, 0.0838
Longxi River (SAT), Longxi River (UAV), 0.0720, 0.0104, 0.0181, 0.0092, 0.4112, 0.8136, 0.0124
Longxi River (SAT), Mengdong Township, 0.5563, 0.2944, 0.3851, 0.2384, 0.5713, 0.9070, 0.1699
Longxi River (SAT), Moxi town (UAV-0.2m), 0.7389, 0.1587, 0.2613, 0.1503, 0.5025, 0.8584, 0.0317
Longxi River (SAT), Moxi town (UAV-1m), 0.1147, 0.4857, 0.1855, 0.1023, 0.4013, 0.7102, 0.1174
Longxi River (SAT), Moxitaidi (SAT), 0.8274, 0.2194, 0.3469, 0.2098, 0.5779, 0.9468, 0.0484
