source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.4056, 0.0770, 0.1295, 0.0692, 0.4058, 0.7472
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.2060, 0.2705, 0.2339, 0.1324, 0.4614, 0.7968
Hokkaido Iburi-Tobu, Lombok, 0.1627, 0.2668, 0.2022, 0.1124, 0.5239, 0.9358
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4505, 0.9009
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.6551, 0.0109, 0.0215, 0.0108, 0.4227, 0.8349
Hokkaido Iburi-Tobu, Mengdong Township, 0.2166, 0.1072, 0.1435, 0.0773, 0.4746, 0.8734
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.2215, 0.1242, 0.1592, 0.0865, 0.4377, 0.7930
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.1696, 0.6842, 0.2718, 0.1573, 0.4480, 0.7509
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.1641, 0.3198, 0.2169, 0.1216, 0.4849, 0.8513
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.0944, 0.0483, 0.0639, 0.0330, 0.4532, 0.8740
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1166, 0.1685, 0.1378, 0.0740, 0.4560, 0.8400
Hokkaido Iburi-Tobu, palu, 0.0922, 0.6164, 0.1604, 0.0872, 0.5070, 0.9273
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.1997, 0.3821, 0.2623, 0.1510, 0.4998, 0.8526
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.0919, 0.7541, 0.1639, 0.0892, 0.4041, 0.7264
Hokkaido Iburi-Tobu, Wenchuan, 0.2226, 0.2666, 0.2427, 0.1381, 0.5308, 0.9244
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.1116, 0.9672, 0.2001, 0.1112, 0.1608, 0.2814
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.3786, 0.8126, 0.5165, 0.3482, 0.5779, 0.8255
Jiuzhai valley (UAV-0.2m), Lombok, 0.0823, 0.4672, 0.1400, 0.0753, 0.4489, 0.8251
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4484, 0.8967
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.5181, 0.2770, 0.3610, 0.2203, 0.5248, 0.8373
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.2183, 0.5964, 0.3196, 0.1902, 0.4617, 0.7489
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.1655, 0.7643, 0.2721, 0.1575, 0.2120, 0.3550
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.0903, 0.8991, 0.1640, 0.0893, 0.2130, 0.3772
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.1333, 0.8473, 0.2304, 0.1302, 0.3723, 0.6354
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.1626, 0.4956, 0.2448, 0.1395, 0.4274, 0.7278
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.1262, 0.6883, 0.2133, 0.1194, 0.3564, 0.6146
Jiuzhai valley (UAV-0.2m), palu, 0.0365, 0.5880, 0.0688, 0.0356, 0.4275, 0.8206
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.0819, 0.9666, 0.1510, 0.0817, 0.1414, 0.2542
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.1238, 0.8584, 0.2164, 0.1213, 0.4467, 0.7790
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.1558, 0.6717, 0.2529, 0.1448, 0.4794, 0.8197
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.2604, 0.8256, 0.3960, 0.2469, 0.4966, 0.7659
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7746, 0.4369, 0.5587, 0.3876, 0.5996, 0.8316
Jiuzhai valley (UAV-0.5m), Lombok, 0.0610, 0.6343, 0.1113, 0.0589, 0.3722, 0.6915
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.4088, 0.0941, 0.1530, 0.0828, 0.4893, 0.8967
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.5526, 0.4563, 0.4998, 0.3332, 0.5846, 0.8485
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.3509, 0.6697, 0.4605, 0.2991, 0.5665, 0.8448
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.2588, 0.4936, 0.3396, 0.2045, 0.4380, 0.6971
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1078, 0.8640, 0.1917, 0.1060, 0.2900, 0.5048
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.2186, 0.6925, 0.3323, 0.1993, 0.5059, 0.8208
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2017, 0.5572, 0.2962, 0.1738, 0.4629, 0.7642
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1534, 0.8007, 0.2575, 0.1478, 0.3873, 0.6495
Jiuzhai valley (UAV-0.5m), palu, 0.0310, 0.5423, 0.0587, 0.0302, 0.4166, 0.8041
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.0815, 0.9943, 0.1507, 0.0815, 0.1279, 0.2307
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.0548, 0.9612, 0.1036, 0.0546, 0.2213, 0.4089
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.2451, 0.8069, 0.3760, 0.2315, 0.5526, 0.8783
Lombok, Hokkaido Iburi-Tobu, 0.2901, 0.4739, 0.3599, 0.2195, 0.5278, 0.8433
Lombok, Jiuzhai valley (UAV-0.2m), 0.4687, 0.0844, 0.1430, 0.0770, 0.4125, 0.7532
Lombok, Jiuzhai valley (UAV-0.5m), 0.4540, 0.2565, 0.3278, 0.1960, 0.5359, 0.8794
Lombok, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4501, 0.9002
Lombok, Longxi River (UAV), 0.6306, 0.0305, 0.0582, 0.0300, 0.4327, 0.8362
Lombok, Mengdong Township, 0.0644, 0.4222, 0.1117, 0.0592, 0.1832, 0.3362
Lombok, Moxi town (UAV-0.2m), 0.1382, 0.0790, 0.1006, 0.0529, 0.4136, 0.7770
Lombok, Moxi town (UAV-1m), 0.1391, 0.6526, 0.2293, 0.1295, 0.4087, 0.7018
Lombok, Moxitaidi (SAT), 0.0880, 0.6226, 0.1541, 0.0835, 0.3125, 0.5599
Lombok, Moxitaidi (UAV-0.6m), 0.1252, 0.1448, 0.1343, 0.0720, 0.4518, 0.8338
Lombok, Moxitaidi (UAV-1m), 0.0670, 0.1271, 0.0878, 0.0459, 0.4217, 0.7994
Lombok, palu, 0.1653, 0.4098, 0.2356, 0.1335, 0.5517, 0.9700
Lombok, Tiburon Peninsula (planet), 0.5469, 0.2207, 0.3144, 0.1866, 0.5598, 0.9340
Lombok, Tiburon Peninsula (Sentinel), 0.0802, 0.9177, 0.1476, 0.0797, 0.3451, 0.6232
Lombok, Wenchuan, 0.2004, 0.3384, 0.2517, 0.1440, 0.5256, 0.9086
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.0924, 0.0143, 0.0248, 0.0125, 0.4539, 0.8953
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 0.2534, 0.0153, 0.0288, 0.0146, 0.3812, 0.7487
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 0.2405, 0.0444, 0.0749, 0.0389, 0.4563, 0.8744
Longxi River (SAT), Lombok, 0.0333, 0.0831, 0.0475, 0.0243, 0.4612, 0.8984
Longxi River (SAT), Longxi River (UAV), 0.8959, 0.0081, 0.0160, 0.0081, 0.4216, 0.8352
Longxi River (SAT), Mengdong Township, 0.4363, 0.2387, 0.3086, 0.1824, 0.5370, 0.8942
Longxi River (SAT), Moxi town (UAV-0.2m), 0.4884, 0.0783, 0.1349, 0.0723, 0.4560, 0.8417
Longxi River (SAT), Moxi town (UAV-1m), 0.0002, 0.0002, 0.0002, 0.0001, 0.4358, 0.8714
Longxi River (SAT), Moxitaidi (SAT), 0.0150, 0.0004, 0.0007, 0.0004, 0.4672, 0.9341
Longxi River (SAT), Moxitaidi (UAV-0.6m), 0.4738, 0.0072, 0.0141, 0.0071, 0.4590, 0.9109
Longxi River (SAT), Moxitaidi (UAV-1m), 0.1220, 0.1209, 0.1214, 0.0646, 0.4653, 0.8672
Longxi River (SAT), palu, 0.0289, 0.4941, 0.0546, 0.0281, 0.4172, 0.8074
Longxi River (SAT), Tiburon Peninsula (planet), 0.0417, 0.0221, 0.0288, 0.0146, 0.4563, 0.8981
Longxi River (SAT), Tiburon Peninsula (Sentinel), 0.0169, 0.0004, 0.0007, 0.0004, 0.4820, 0.9637
Longxi River (SAT), Wenchuan, 0.2683, 0.0656, 0.1054, 0.0556, 0.5024, 0.9494
Longxi River (UAV), Hokkaido Iburi-Tobu, 0.2010, 0.8050, 0.3217, 0.1917, 0.4253, 0.6845
Longxi River (UAV), Jiuzhai valley (UAV-0.2m), 0.3344, 0.7166, 0.4561, 0.2954, 0.3949, 0.5829
Longxi River (UAV), Jiuzhai valley (UAV-0.5m), 0.4943, 0.5251, 0.5092, 0.3416, 0.6091, 0.8839
Longxi River (UAV), Lombok, 0.0825, 0.4977, 0.1415, 0.0762, 0.4447, 0.8161
Longxi River (UAV), Longxi River (SAT), 0.4553, 0.0618, 0.1089, 0.0576, 0.4783, 0.8997
Longxi River (UAV), Mengdong Township, 0.1725, 0.9499, 0.2920, 0.1710, 0.3342, 0.5445
Longxi River (UAV), Moxi town (UAV-0.2m), 0.2348, 0.6112, 0.3393, 0.2043, 0.3944, 0.6245
Longxi River (UAV), Moxi town (UAV-1m), 0.1188, 0.7383, 0.2047, 0.1140, 0.3517, 0.6100
Longxi River (UAV), Moxitaidi (SAT), 0.1826, 0.8043, 0.2977, 0.1748, 0.4585, 0.7556
Longxi River (UAV), Moxitaidi (UAV-0.6m), 0.1436, 0.9208, 0.2485, 0.1419, 0.3008, 0.5041
Longxi River (UAV), Moxitaidi (UAV-1m), 0.1455, 0.8188, 0.2471, 0.1409, 0.3685, 0.6211
Longxi River (UAV), palu, 0.0369, 0.8253, 0.0706, 0.0366, 0.3947, 0.7552
Longxi River (UAV), Tiburon Peninsula (planet), 0.2041, 0.8050, 0.3257, 0.1945, 0.4762, 0.7713
Longxi River (UAV), Tiburon Peninsula (Sentinel), 0.0482, 0.9723, 0.0919, 0.0482, 0.1704, 0.3171
Longxi River (UAV), Wenchuan, 0.5763, 0.3582, 0.4418, 0.2835, 0.6209, 0.9589
Mengdong Township, Hokkaido Iburi-Tobu, 0.4189, 0.0821, 0.1373, 0.0737, 0.4885, 0.9041
Mengdong Township, Jiuzhai valley (UAV-0.2m), 0.6803, 0.4153, 0.5157, 0.3475, 0.5678, 0.8097
Mengdong Township, Jiuzhai valley (UAV-0.5m), 0.4519, 0.1686, 0.2456, 0.1400, 0.5094, 0.8812
Mengdong Township, Lombok, 0.0090, 0.0169, 0.0117, 0.0059, 0.4594, 0.9130
Mengdong Township, Longxi River (SAT), 0.0554, 0.0032, 0.0061, 0.0031, 0.4494, 0.8958
Mengdong Township, Longxi River (UAV), 0.5841, 0.0073, 0.0145, 0.0073, 0.4207, 0.8344
Mengdong Township, Moxi town (UAV-0.2m), 0.2647, 0.0501, 0.0842, 0.0440, 0.4354, 0.8282
Mengdong Township, Moxi town (UAV-1m), 0.0009, 0.0010, 0.0010, 0.0005, 0.4281, 0.8558
Mengdong Township, Moxitaidi (SAT), 0.4302, 0.1052, 0.1691, 0.0924, 0.5127, 0.9334
Mengdong Township, Moxitaidi (UAV-0.6m), 0.3026, 0.0849, 0.1326, 0.0710, 0.4857, 0.9011
Mengdong Township, Moxitaidi (UAV-1m), 0.0705, 0.0427, 0.0532, 0.0273, 0.4558, 0.8846
Mengdong Township, palu, 0.0175, 0.1308, 0.0309, 0.0157, 0.4616, 0.9077
