source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.6700, 0.1695, 0.2706, 0.1565, 0.4619, 0.7770
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.4259, 0.2189, 0.2891, 0.1690, 0.5212, 0.8766
Hokkaido Iburi-Tobu, Lombok, 0.1373, 0.2999, 0.1883, 0.1039, 0.5122, 0.9212
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0097, 0.0000, 0.0001, 0.0000, 0.4503, 0.9006
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.5727, 0.0052, 0.0104, 0.0052, 0.4197, 0.8343
Hokkaido Iburi-Tobu, Mengdong Township, 0.2580, 0.1080, 0.1523, 0.0824, 0.4811, 0.8811
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.2047, 0.0694, 0.1037, 0.0547, 0.4316, 0.8107
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.1597, 0.6672, 0.2577, 0.1479, 0.4371, 0.7388
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.1321, 0.4129, 0.2001, 0.1112, 0.4464, 0.7874
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.1445, 0.0870, 0.1086, 0.0574, 0.4646, 0.8728
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1246, 0.2849, 0.1734, 0.0949, 0.4421, 0.7938
Hokkaido Iburi-Tobu, palu, 0.0930, 0.6535, 0.1629, 0.0887, 0.5062, 0.9243
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.2057, 0.5991, 0.3062, 0.1808, 0.4932, 0.8137
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.0672, 0.7606, 0.1235, 0.0658, 0.3358, 0.6164
Hokkaido Iburi-Tobu, Wenchuan, 0.2379, 0.4824, 0.3186, 0.1895, 0.5468, 0.9062
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.1292, 0.8403, 0.2240, 0.1261, 0.2696, 0.4589
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.4304, 0.7197, 0.5387, 0.3686, 0.6073, 0.8586
Jiuzhai valley (UAV-0.2m), Lombok, 0.0727, 0.7474, 0.1326, 0.0710, 0.3830, 0.7020
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0449, 0.0029, 0.0054, 0.0027, 0.4489, 0.8951
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.4146, 0.2291, 0.2951, 0.1731, 0.4922, 0.8184
