source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.4961, 0.1894, 0.2741, 0.1588, 0.4511, 0.7553
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.1698, 0.3661, 0.2320, 0.1312, 0.4206, 0.7221
Hokkaido Iburi-Tobu, Lombok, 0.1386, 0.2989, 0.1894, 0.1046, 0.5130, 0.9221
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0070, 0.0000, 0.0001, 0.0000, 0.4503, 0.9005
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.7118, 0.0175, 0.0341, 0.0174, 0.4263, 0.8358
Hokkaido Iburi-Tobu, Mengdong Township, 0.3138, 0.1732, 0.2232, 0.1256, 0.5022, 0.8808
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.2738, 0.1536, 0.1968, 0.1092, 0.4532, 0.8022
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.1733, 0.6290, 0.2718, 0.1573, 0.4590, 0.7709
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.1469, 0.5101, 0.2281, 0.1287, 0.4494, 0.7776
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.1026, 0.0238, 0.0386, 0.0197, 0.4570, 0.8946
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1179, 0.1784, 0.1420, 0.0764, 0.4552, 0.8363
Hokkaido Iburi-Tobu, palu, 0.0989, 0.5156, 0.1660, 0.0905, 0.5159, 0.9417
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.2215, 0.5854, 0.3214, 0.1915, 0.5074, 0.8304
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.0757, 0.5484, 0.1330, 0.0712, 0.4060, 0.7458
Hokkaido Iburi-Tobu, Wenchuan, 0.2232, 0.3748, 0.2798, 0.1627, 0.5367, 0.9123
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.1052, 0.9576, 0.1896, 0.1047, 0.1348, 0.2392
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.5152, 0.7706, 0.6175, 0.4467, 0.6633, 0.8905
Jiuzhai valley (UAV-0.2m), Lombok, 0.0547, 0.5740, 0.0999, 0.0526, 0.3659, 0.6848
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0170, 0.0008, 0.0016, 0.0008, 0.4485, 0.8963
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.5017, 0.3643, 0.4221, 0.2675, 0.5457, 0.8345
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.1686, 0.4824, 0.2499, 0.1428, 0.4210, 0.7136
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.2336, 0.6884, 0.3488, 0.2113, 0.3782, 0.5946
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.0988, 0.7996, 0.1758, 0.0964, 0.2788, 0.4904
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.0857, 0.8484, 0.1557, 0.0844, 0.2287, 0.4072
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.1575, 0.4230, 0.2296, 0.1297, 0.4335, 0.7472
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.1169, 0.8007, 0.2040, 0.1136, 0.3043, 0.5257
Jiuzhai valley (UAV-0.2m), palu, 0.0227, 0.5212, 0.0435, 0.0222, 0.3811, 0.7416
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.0867, 0.9463, 0.1588, 0.0862, 0.1752, 0.3120
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.0942, 0.8276, 0.1692, 0.0924, 0.3974, 0.7111
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.1120, 0.8128, 0.1968, 0.1091, 0.3981, 0.6985
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.1534, 0.9402, 0.2637, 0.1519, 0.3086, 0.5120
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.6476, 0.6475, 0.6476, 0.4788, 0.6373, 0.8280
Jiuzhai valley (UAV-0.5m), Lombok, 0.0804, 0.6162, 0.1422, 0.0765, 0.4228, 0.7735
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.6400, 0.2091, 0.3152, 0.1871, 0.5476, 0.9100
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.5078, 0.2954, 0.3735, 0.2297, 0.5284, 0.8356
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.2484, 0.5329, 0.3388, 0.2040, 0.4934, 0.7943
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.1887, 0.5706, 0.2836, 0.1652, 0.3328, 0.5453
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.0863, 0.9663, 0.1585, 0.0861, 0.1698, 0.3026
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.0771, 0.8810, 0.1419, 0.0763, 0.1743, 0.3136
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2300, 0.5122, 0.3175, 0.1887, 0.4916, 0.8039
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1414, 0.7179, 0.2363, 0.1340, 0.3806, 0.6476
Jiuzhai valley (UAV-0.5m), palu, 0.0356, 0.6271, 0.0673, 0.0348, 0.4188, 0.8043
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.1975, 0.9331, 0.3260, 0.1948, 0.4560, 0.7353
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.0712, 0.9466, 0.1325, 0.0709, 0.3074, 0.5592
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.3865, 0.2876, 0.3298, 0.1974, 0.5718, 0.9469
Lombok, Hokkaido Iburi-Tobu, 0.2470, 0.3213, 0.2793, 0.1623, 0.5017, 0.8459
Lombok, Jiuzhai valley (UAV-0.2m), 0.6202, 0.1008, 0.1734, 0.0950, 0.4273, 0.7655
Lombok, Jiuzhai valley (UAV-0.5m), 0.1788, 0.2567, 0.2108, 0.1178, 0.4453, 0.7795
Lombok, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4503, 0.9006
Lombok, Longxi River (UAV), 0.6187, 0.0386, 0.0726, 0.0377, 0.4366, 0.8365
Lombok, Mengdong Township, 0.0562, 0.2964, 0.0945, 0.0496, 0.2355, 0.4383
Lombok, Moxi town (UAV-0.2m), 0.1085, 0.0730, 0.0872, 0.0456, 0.4010, 0.7592
Lombok, Moxi town (UAV-1m), 0.0891, 0.8210, 0.1608, 0.0874, 0.2352, 0.4175
Lombok, Moxitaidi (SAT), 0.0653, 0.2257, 0.1013, 0.0534, 0.3958, 0.7421
Lombok, Moxitaidi (UAV-0.6m), 0.0720, 0.0505, 0.0594, 0.0306, 0.4437, 0.8574
Lombok, Moxitaidi (UAV-1m), 0.0729, 0.1171, 0.0899, 0.0470, 0.4327, 0.8200
Lombok, palu, 0.1784, 0.4974, 0.2626, 0.1512, 0.5598, 0.9685
Lombok, Tiburon Peninsula (planet), 0.4842, 0.0105, 0.0206, 0.0104, 0.4708, 0.9313
Lombok, Tiburon Peninsula (Sentinel), 0.1091, 0.8906, 0.1944, 0.1077, 0.4183, 0.7376
Lombok, Wenchuan, 0.1224, 0.1988, 0.1515, 0.0820, 0.4900, 0.8988
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.0298, 0.0037, 0.0065, 0.0033, 0.4498, 0.8963
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 1.0000, 0.0001, 0.0002, 0.0001, 0.3781, 0.7560
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 1.0000, 0.0000, 0.0000, 0.0000, 0.4427, 0.8853
Longxi River (SAT), Lombok, 0.0000, 0.0000, 0.0000, 0.0000, 0.4797, 0.9595
Longxi River (SAT), Longxi River (UAV), 0.8508, 0.0175, 0.0344, 0.0175, 0.4267, 0.8365
Longxi River (SAT), Mengdong Township, 0.9112, 0.0251, 0.0488, 0.0250, 0.4641, 0.9033
Longxi River (SAT), Moxi town (UAV-0.2m), 0.0534, 0.0020, 0.0039, 0.0020, 0.4194, 0.8369
Longxi River (SAT), Moxi town (UAV-1m), 0.0040, 0.0025, 0.0031, 0.0016, 0.4457, 0.8899
Longxi River (SAT), Moxitaidi (SAT), 0.3510, 0.0330, 0.0603, 0.0311, 0.4824, 0.9338
Longxi River (SAT), Moxitaidi (UAV-0.6m), 0.0602, 0.0078, 0.0138, 0.0070, 0.4539, 0.9008
Longxi River (SAT), Moxitaidi (UAV-1m), 0.0750, 0.0537, 0.0626, 0.0323, 0.4548, 0.8779
Longxi River (SAT), palu, 0.0000, 0.0000, 0.0000, 0.0000, 0.4934, 0.9868
Longxi River (SAT), Tiburon Peninsula (planet), 0.0000, 0.0000, 0.0000, 0.0000, 0.4609, 0.9217
Longxi River (SAT), Tiburon Peninsula (Sentinel), 0.0246, 0.0038, 0.0066, 0.0033, 0.4812, 0.9592
Longxi River (SAT), Wenchuan, 0.3415, 0.3071, 0.3234, 0.1929, 0.5668, 0.9416
Longxi River (UAV), Hokkaido Iburi-Tobu, 0.1069, 0.9602, 0.1923, 0.1064, 0.1417, 0.2505
Longxi River (UAV), Jiuzhai valley (UAV-0.2m), 0.6723, 0.4576, 0.5446, 0.3742, 0.5820, 0.8132
Longxi River (UAV), Jiuzhai valley (UAV-0.5m), 0.3686, 0.7090, 0.4850, 0.3201, 0.5661, 0.8274
Longxi River (UAV), Lombok, 0.0877, 0.6202, 0.1537, 0.0833, 0.4356, 0.7920
Longxi River (UAV), Longxi River (SAT), 0.1225, 0.0081, 0.0153, 0.0077, 0.4518, 0.8959
Longxi River (UAV), Mengdong Township, 0.1726, 0.9208, 0.2906, 0.1700, 0.3405, 0.5555
Longxi River (UAV), Moxi town (UAV-0.2m), 0.2166, 0.5721, 0.3143, 0.1864, 0.3768, 0.6062
Longxi River (UAV), Moxi town (UAV-1m), 0.0785, 0.9346, 0.1449, 0.0781, 0.1388, 0.2504
Longxi River (UAV), Moxitaidi (SAT), 0.0947, 0.9455, 0.1721, 0.0941, 0.2351, 0.4141
Longxi River (UAV), Moxitaidi (UAV-0.6m), 0.1906, 0.4644, 0.2703, 0.1563, 0.4617, 0.7767
Longxi River (UAV), Moxitaidi (UAV-1m), 0.1348, 0.8044, 0.2309, 0.1305, 0.3486, 0.5932
Longxi River (UAV), palu, 0.0477, 0.5474, 0.0878, 0.0459, 0.4585, 0.8719
Longxi River (UAV), Tiburon Peninsula (planet), 0.1723, 0.9027, 0.2893, 0.1691, 0.4224, 0.6957
Longxi River (UAV), Tiburon Peninsula (Sentinel), 0.0528, 0.9633, 0.1002, 0.0527, 0.2079, 0.3848
Longxi River (UAV), Wenchuan, 0.4611, 0.5658, 0.5081, 0.3406, 0.6448, 0.9502
Mengdong Township, Hokkaido Iburi-Tobu, 0.1713, 0.0252, 0.0439, 0.0225, 0.4601, 0.8981
Mengdong Township, Jiuzhai valley (UAV-0.2m), 0.5099, 0.5172, 0.5135, 0.3455, 0.5359, 0.7609
