source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.6830, 0.1584, 0.2572, 0.1476, 0.4576, 0.7767
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.2031, 0.3748, 0.2634, 0.1517, 0.4503, 0.7596
Hokkaido Iburi-Tobu, Lombok, 0.1418, 0.3112, 0.1949, 0.1079, 0.5144, 0.9217
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9008
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.7010, 0.0057, 0.0113, 0.0057, 0.4201, 0.8346
Hokkaido Iburi-Tobu, Mengdong Township, 0.3529, 0.1837, 0.2416, 0.1374, 0.5106, 0.8860
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.1872, 0.0734, 0.1054, 0.0556, 0.4285, 0.8036
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.1758, 0.4926, 0.2591, 0.1488, 0.4754, 0.8085
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.1248, 0.4986, 0.1996, 0.1109, 0.4224, 0.7425
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.1408, 0.0277, 0.0463, 0.0237, 0.4609, 0.8984
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1366, 0.1993, 0.1621, 0.0882, 0.4647, 0.8436
Hokkaido Iburi-Tobu, palu, 0.1123, 0.5079, 0.1839, 0.1013, 0.5251, 0.9493
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.3125, 0.3209, 0.3167, 0.1881, 0.5455, 0.9050
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1071, 0.5954, 0.1815, 0.0998, 0.4524, 0.8091
Hokkaido Iburi-Tobu, Wenchuan, 0.2507, 0.2776, 0.2634, 0.1517, 0.5401, 0.9295
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.0976, 0.9871, 0.1776, 0.0974, 0.0809, 0.1502
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.3008, 0.9003, 0.4510, 0.2911, 0.5054, 0.7486
Jiuzhai valley (UAV-0.2m), Lombok, 0.0882, 0.6199, 0.1544, 0.0836, 0.4364, 0.7931
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0130, 0.0003, 0.0006, 0.0003, 0.4494, 0.8986
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.6362, 0.1934, 0.2966, 0.1741, 0.5084, 0.8478
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.1800, 0.4086, 0.2499, 0.1428, 0.4450, 0.7574
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.2000, 0.6047, 0.3006, 0.1769, 0.3431, 0.5561
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.0979, 0.8547, 0.1756, 0.0963, 0.2587, 0.4547
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.1344, 0.8677, 0.2328, 0.1317, 0.3708, 0.6316
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.1662, 0.5081, 0.2504, 0.1431, 0.4298, 0.7292
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.1391, 0.5490, 0.2219, 0.1248, 0.4099, 0.7077
Jiuzhai valley (UAV-0.2m), palu, 0.0224, 0.5387, 0.0430, 0.0220, 0.3752, 0.7301
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.1049, 0.9716, 0.1894, 0.1046, 0.2467, 0.4295
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.1033, 0.9164, 0.1857, 0.1024, 0.4036, 0.7144
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.1372, 0.6723, 0.2278, 0.1286, 0.4575, 0.7929
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.3381, 0.7819, 0.4721, 0.3090, 0.5668, 0.8374
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7454, 0.5762, 0.6500, 0.4814, 0.6526, 0.8486
Jiuzhai valley (UAV-0.5m), Lombok, 0.0594, 0.6850, 0.1094, 0.0579, 0.3554, 0.6602
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4481, 0.8963
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.3888, 0.8124, 0.5259, 0.3568, 0.5379, 0.7570
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.2006, 0.8048, 0.3211, 0.1913, 0.4128, 0.6635
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.2490, 0.6025, 0.3524, 0.2139, 0.4140, 0.6507
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1142, 0.7222, 0.1973, 0.1094, 0.3447, 0.6005
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.1387, 0.8334, 0.2378, 0.1350, 0.3857, 0.6560
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2363, 0.5133, 0.3236, 0.1930, 0.4964, 0.8089
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1651, 0.7688, 0.2719, 0.1573, 0.4127, 0.6874
Jiuzhai valley (UAV-0.5m), palu, 0.0438, 0.4560, 0.0800, 0.0417, 0.4614, 0.8818
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.0857, 0.9882, 0.1578, 0.0856, 0.1545, 0.2760
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.0674, 0.9388, 0.1258, 0.0671, 0.2936, 0.5362
