beta,source_region,precision,recall,f1,iou,miou,oa
0.01, Hokkaido Iburi-Tobu, 0.4642, 0.0116, 0.0226, 0.0114, 0.4224, 0.8338
0.01, Jiuzhai valley (UAV-0.2m), 0.3148, 0.8421, 0.4583, 0.2973, 0.4566, 0.6696
0.01, Jiuzhai valley (UAV-0.5m), 0.5503, 0.5654, 0.5578, 0.3867, 0.6113, 0.8512
0.01, Lombok, 0.5945, 0.0127, 0.0248, 0.0126, 0.4235, 0.8347
0.01, Longxi River (SAT), 1.0000, 0.0000, 0.0000, 0.0000, 0.4170, 0.8341
0.01, Mengdong Township, 0.4371, 0.0066, 0.0130, 0.0066, 0.4201, 0.8337
0.01, Moxi town (UAV-0.2m), 0.3687, 0.8200, 0.5087, 0.3411, 0.5184, 0.7371
0.01, Moxi town (UAV-1m), 0.6685, 0.2088, 0.3183, 0.1892, 0.5177, 0.8515
0.01, Moxitaidi (SAT), 0.5680, 0.0945, 0.1621, 0.0882, 0.4617, 0.8378
0.01, Moxitaidi (UAV-0.6m), 0.4968, 0.0570, 0.1023, 0.0539, 0.4431, 0.8339
0.01, Moxitaidi (UAV-1m), 0.4583, 0.2252, 0.3020, 0.1779, 0.4992, 0.8273
0.01, palu, 0.5914, 0.0156, 0.0304, 0.0155, 0.4249, 0.8349
0.01, Tiburon Peninsula (planet), 0.5981, 0.0104, 0.0204, 0.0103, 0.4223, 0.8346
0.01, Tiburon Peninsula (Sentinel), 0.5232, 0.0131, 0.0255, 0.0129, 0.4234, 0.8343
0.01, Wenchuan, 0.7111, 0.1684, 0.2723, 0.1576, 0.5020, 0.8507
0.03, Hokkaido Iburi-Tobu, 0.5764, 0.0387, 0.0726, 0.0376, 0.4362, 0.8358
0.03, Jiuzhai valley (UAV-0.2m), 0.3381, 0.7723, 0.4703, 0.3075, 0.4882, 0.7114
0.03, Jiuzhai valley (UAV-0.5m), 0.4208, 0.6489, 0.5105, 0.3427, 0.5557, 0.7935
0.03, Lombok, 0.3946, 0.0049, 0.0097, 0.0049, 0.4192, 0.8336
0.03, Longxi River (SAT), 0.4104, 0.0000, 0.0000, 0.0000, 0.4170, 0.8341
0.03, Mengdong Township, 0.3492, 0.0027, 0.0053, 0.0027, 0.4181, 0.8337
0.03, Moxi town (UAV-0.2m), 0.2429, 0.9596, 0.3877, 0.2405, 0.3211, 0.4971
0.03, Moxi town (UAV-1m), 0.3171, 0.3382, 0.3273, 0.1957, 0.4757, 0.7694
0.03, Moxitaidi (SAT), 0.3807, 0.5278, 0.4424, 0.2840, 0.5210, 0.7792
0.03, Moxitaidi (UAV-0.6m), 0.5877, 0.2301, 0.3307, 0.1981, 0.5187, 0.8455
0.03, Moxitaidi (UAV-1m), 0.4580, 0.2031, 0.2814, 0.1637, 0.4928, 0.8279
0.03, palu, 0.4876, 0.0021, 0.0043, 0.0021, 0.4181, 0.8340
0.03, Tiburon Peninsula (planet), 0.6789, 0.2243, 0.3372, 0.2028, 0.5254, 0.8537
0.03, Tiburon Peninsula (Sentinel), 0.5619, 0.0123, 0.0241, 0.0122, 0.4232, 0.8345
0.03, Wenchuan, 0.6759, 0.2126, 0.3234, 0.1929, 0.5200, 0.8524
0.05, Hokkaido Iburi-Tobu, 0.6147, 0.1967, 0.2980, 0.1751, 0.5081, 0.8462
0.05, Jiuzhai valley (UAV-0.2m), 0.3676, 0.0518, 0.0908, 0.0476, 0.4370, 0.8279
0.05, Jiuzhai valley (UAV-0.5m), 0.4463, 0.7705, 0.5652, 0.3940, 0.5842, 0.8033
0.05, Lombok, 0.7063, 0.1271, 0.2155, 0.1207, 0.4819, 0.8464
0.05, Longxi River (SAT), 0.9786, 0.0015, 0.0030, 0.0015, 0.4179, 0.8343
0.05, Mengdong Township, 0.4423, 0.0071, 0.0140, 0.0071, 0.4203, 0.8338
0.05, Moxi town (UAV-0.2m), 0.2796, 0.9215, 0.4291, 0.2731, 0.3964, 0.5931
0.05, Moxi town (UAV-1m), 0.3681, 0.3769, 0.3724, 0.2288, 0.5020, 0.7893
0.05, Moxitaidi (SAT), 0.5119, 0.3788, 0.4354, 0.2783, 0.5522, 0.8370
0.05, Moxitaidi (UAV-0.6m), 0.5055, 0.3109, 0.3850, 0.2384, 0.5323, 0.8352
0.05, Moxitaidi (UAV-1m), 0.5359, 0.2867, 0.3735, 0.2297, 0.5311, 0.8404
0.05, palu, 0.6596, 0.0331, 0.0630, 0.0325, 0.4342, 0.8367
