region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.7236, 0.6790, 0.7006, 0.5392, 0.8632
Jiuzhai valley (UAV-0.5m), 0.7826, 0.7004, 0.7392, 0.5863, 0.8835
Lombok, 0.8097, 0.4625, 0.5887, 0.4172, 0.8477
Longxi River (SAT), 0.4314, 0.6427, 0.5163, 0.3480, 0.7161
Longxi River (UAV), 0.7615, 0.5029, 0.6058, 0.4345, 0.8457
Mengdong Township, 0.7733, 0.6223, 0.6896, 0.5263, 0.8680
Moxi town (UAV-0.2m), 0.7197, 0.7084, 0.7140, 0.5552, 0.8662
Moxi town (UAV-1m), 0.6000, 0.7599, 0.6705, 0.5044, 0.8240
Moxitaidi (SAT), 0.4929, 0.2688, 0.3479, 0.2106, 0.7625
Moxitaidi (UAV-0.6m), 0.7408, 0.4717, 0.5764, 0.4049, 0.8366
Moxitaidi (UAV-1m), 0.6569, 0.2683, 0.3810, 0.2353, 0.7945
palu, 0.7254, 0.1345, 0.2270, 0.1280, 0.7840
Tiburon Peninsula (planet), 0.4861, 0.7796, 0.5988, 0.4274, 0.7538
Tiburon Peninsula (Sentinel), 0.8355, 0.3199, 0.4627, 0.3010, 0.8249
Wenchuan, 0.6860, 0.6325, 0.6582, 0.4905, 0.8451
