region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.3499, 0.4900, 0.4083, 0.2565, 0.8425
Jiuzhai valley (UAV-0.2m), 0.3288, 0.6467, 0.4359, 0.2787, 0.8144
Jiuzhai valley (UAV-0.5m), 0.4689, 0.3435, 0.3965, 0.2473, 0.8841
Lombok, 0.2220, 0.0912, 0.1293, 0.0691, 0.8638
Longxi River (SAT), 0.3246, 0.3073, 0.3157, 0.1874, 0.8523
Longxi River (UAV), 0.2380, 0.8297, 0.3698, 0.2269, 0.6865
Moxi town (UAV-0.2m), 0.5906, 0.2041, 0.3034, 0.1788, 0.8961
Moxi town (UAV-1m), 0.3820, 0.5955, 0.4654, 0.3033, 0.8483
Moxitaidi (SAT), 0.3120, 0.6621, 0.4242, 0.2692, 0.8007
Moxitaidi (UAV-0.6m), 0.3875, 0.6225, 0.4776, 0.3137, 0.8490
Moxitaidi (UAV-1m), 0.3678, 0.6803, 0.4775, 0.3136, 0.8349
palu, 0.0927, 0.3141, 0.1432, 0.0771, 0.5832
Tiburon Peninsula (planet), 0.3220, 0.2523, 0.2830, 0.1648, 0.8582
Tiburon Peninsula (Sentinel), 0.1653, 0.1667, 0.1660, 0.0905, 0.8143
Wenchuan, 0.2999, 0.6912, 0.4183, 0.2644, 0.7868
