region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.2299, 0.5714, 0.3279, 0.1961, 0.7543
Jiuzhai valley (UAV-0.2m), 0.2183, 0.7158, 0.3346, 0.2009, 0.7012
Jiuzhai valley (UAV-0.5m), 0.3154, 0.5634, 0.4044, 0.2534, 0.8259
Lombok, 0.1056, 0.0278, 0.0440, 0.0225, 0.8733
Longxi River (SAT), 0.2526, 0.5243, 0.3409, 0.2055, 0.7873
Longxi River (UAV), 0.2028, 0.6297, 0.3068, 0.1812, 0.7015
Mengdong Township, 0.4088, 0.4327, 0.4204, 0.2662, 0.8748
Moxi town (UAV-0.2m), 0.3868, 0.4376, 0.4106, 0.2583, 0.8682
Moxi town (UAV-1m), 0.2869, 0.6240, 0.3931, 0.2446, 0.7978
Moxitaidi (SAT), 0.2291, 0.7251, 0.3482, 0.2108, 0.7152
Moxitaidi (UAV-1m), 0.3747, 0.7331, 0.4959, 0.3297, 0.8436
palu, 0.4719, 0.1448, 0.2216, 0.1246, 0.8933
Tiburon Peninsula (planet), 0.2652, 0.2729, 0.2690, 0.1554, 0.8444
Tiburon Peninsula (Sentinel), 0.1605, 0.1252, 0.1406, 0.0756, 0.8395
Wenchuan, 0.1974, 0.6684, 0.3048, 0.1798, 0.6801
