region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.3387, 0.6303, 0.4406, 0.2826, 0.8903
Jiuzhai valley (UAV-0.2m), 0.2561, 0.5257, 0.3444, 0.2080, 0.8627
Jiuzhai valley (UAV-0.5m), 0.5184, 0.2055, 0.2944, 0.1726, 0.9324
Lombok, 0.3211, 0.1146, 0.1689, 0.0923, 0.9227
Longxi River (SAT), 0.1040, 0.4392, 0.1681, 0.0918, 0.7020
Longxi River (UAV), 0.2103, 0.5721, 0.3076, 0.1817, 0.8234
Mengdong Township, 0.2641, 0.5775, 0.3625, 0.2214, 0.8607
Moxi town (UAV-0.2m), 0.3461, 0.4473, 0.3902, 0.2424, 0.9041
Moxi town (UAV-1m), 0.2652, 0.6442, 0.3758, 0.2314, 0.8532
Moxitaidi (SAT), 0.3664, 0.5003, 0.4230, 0.2682, 0.9064
Moxitaidi (UAV-0.6m), 0.3222, 0.6022, 0.4198, 0.2656, 0.8858
Moxitaidi (UAV-1m), 0.3198, 0.5863, 0.4139, 0.2610, 0.8861
palu, 0.1157, 0.6065, 0.1943, 0.1076, 0.6551
Tiburon Peninsula (Sentinel), 0.4740, 0.3643, 0.4120, 0.2594, 0.9287
Wenchuan, 0.0828, 0.9209, 0.1519, 0.0822, 0.2950
