source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai Valley, 0.7249, 0.8539, 0.7841, 0.6449, 0.7568, 0.8940
Hokkaido Iburi-Tobu, Lombok, 0.3092, 0.3688, 0.3364, 0.2022, 0.5782, 0.9548
Hokkaido Iburi-Tobu, Longxi River, 0.5484, 0.7968, 0.6497, 0.4811, 0.6882, 0.9046
Hokkaido Iburi-Tobu, Mengdong Township, 0.6264, 0.7619, 0.6876, 0.5239, 0.7252, 0.9321
Hokkaido Iburi-Tobu, Luding, 0.4725, 0.7139, 0.5686, 0.3973, 0.6350, 0.8826
Hokkaido Iburi-Tobu, Palu, 0.4648, 0.4341, 0.4489, 0.2894, 0.6383, 0.9871
Hokkaido Iburi-Tobu, Tiburon Peninsula, 0.6090, 0.6318, 0.6202, 0.4495, 0.7063, 0.9642
Hokkaido Iburi-Tobu, Wenchuan, 0.5284, 0.5210, 0.5247, 0.3556, 0.6541, 0.9538
Jiuzhai Valley, Hokkaido Iburi-Tobu, 0.7086, 0.7668, 0.7365, 0.5829, 0.7636, 0.9482
Jiuzhai Valley, Lombok, 0.4200, 0.2146, 0.2840, 0.1655, 0.5658, 0.9664
Jiuzhai Valley, Longxi River, 0.5534, 0.6660, 0.6045, 0.4332, 0.6643, 0.9032
Jiuzhai Valley, Mengdong Township, 0.6535, 0.6165, 0.6345, 0.4646, 0.6952, 0.9303
Jiuzhai Valley, Luding, 0.5602, 0.5380, 0.5489, 0.3783, 0.6382, 0.9041
Jiuzhai Valley, Palu, 0.4833, 0.3993, 0.4373, 0.2799, 0.6337, 0.9876
Jiuzhai Valley, Tiburon Peninsula, 0.6390, 0.6476, 0.6433, 0.4741, 0.7199, 0.9668
Jiuzhai Valley, Wenchuan, 0.5563, 0.7218, 0.6283, 0.4581, 0.7074, 0.9582
Lombok, Hokkaido Iburi-Tobu, 0.6890, 0.7980, 0.7395, 0.5867, 0.7647, 0.9470
Lombok, Jiuzhai Valley, 0.7338, 0.8383, 0.7826, 0.6428, 0.7566, 0.8950
Lombok, Longxi River, 0.5289, 0.8221, 0.6437, 0.4746, 0.6817, 0.8990
Lombok, Mengdong Township, 0.6853, 0.6635, 0.6742, 0.5086, 0.7206, 0.9371
Lombok, Luding, 0.3902, 0.7453, 0.5122, 0.3443, 0.5884, 0.8461
Lombok, Palu, 0.3978, 0.4582, 0.4259, 0.2705, 0.6278, 0.9851
Lombok, Tiburon Peninsula, 0.6284, 0.6488, 0.6384, 0.4689, 0.7169, 0.9660
Lombok, Wenchuan, 0.5769, 0.5442, 0.5601, 0.3890, 0.6730, 0.9581
