source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.7193, 0.5880, 0.6471, 0.4783, 0.6478, 0.8435
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.6701, 0.5679, 0.6148, 0.4438, 0.6783, 0.9184
Hokkaido Iburi-Tobu, Lombok, 0.1152, 0.6266, 0.1946, 0.1078, 0.4733, 0.8419
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.2785, 0.0041, 0.0082, 0.0041, 0.4522, 0.9003
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.4969, 0.0882, 0.1498, 0.0809, 0.4562, 0.8339
Hokkaido Iburi-Tobu, Mengdong Township, 0.4156, 0.3795, 0.3968, 0.2475, 0.5644, 0.8859
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3755, 0.6975, 0.4882, 0.3229, 0.5319, 0.7693
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2546, 0.7589, 0.3812, 0.2355, 0.5295, 0.8326
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3302, 0.4134, 0.3671, 0.2248, 0.5653, 0.9082
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2814, 0.1863, 0.2242, 0.1262, 0.5047, 0.8852
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1677, 0.5451, 0.2565, 0.1471, 0.4485, 0.7602
Hokkaido Iburi-Tobu, palu, 0.1135, 0.3530, 0.1717, 0.0939, 0.5277, 0.9617
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.5379, 0.6879, 0.6037, 0.4324, 0.6837, 0.9380
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1977, 0.6318, 0.3012, 0.1773, 0.5353, 0.8958
Hokkaido Iburi-Tobu, Wenchuan, 0.3862, 0.6657, 0.4888, 0.3235, 0.6291, 0.9367
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.4231, 0.1050, 0.1682, 0.0918, 0.4972, 0.9035
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.7111, 0.6972, 0.7041, 0.5433, 0.7351, 0.9328
Jiuzhai valley (UAV-0.2m), Lombok, 0.1018, 0.3767, 0.1603, 0.0871, 0.4827, 0.8797
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0453, 0.0021, 0.0041, 0.0020, 0.4493, 0.8967
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.3923, 0.1267, 0.1915, 0.1059, 0.4623, 0.8225
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.4071, 0.4787, 0.4400, 0.2820, 0.5778, 0.8795
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.4316, 0.5092, 0.4672, 0.3048, 0.5528, 0.8168
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.4547, 0.1191, 0.1888, 0.1042, 0.5171, 0.9304
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.3099, 0.5696, 0.4014, 0.2511, 0.5687, 0.8906
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2394, 0.6641, 0.3520, 0.2136, 0.4911, 0.7822
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.2382, 0.6787, 0.3526, 0.2141, 0.5073, 0.8108
Jiuzhai valley (UAV-0.2m), palu, 0.0022, 0.0023, 0.0023, 0.0011, 0.4892, 0.9772
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.4260, 0.1862, 0.2591, 0.1488, 0.5374, 0.9269
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.0617, 0.0106, 0.0181, 0.0092, 0.4841, 0.9591
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.4238, 0.2470, 0.3121, 0.1849, 0.5674, 0.9505
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.5280, 0.3211, 0.3994, 0.2495, 0.5785, 0.9102
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7572, 0.7106, 0.7331, 0.5787, 0.7130, 0.8738
Jiuzhai valley (UAV-0.5m), Lombok, 0.0915, 0.6507, 0.1604, 0.0872, 0.4377, 0.7925
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.0024, 0.0000, 0.0001, 0.0000, 0.4499, 0.8997
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.6646, 0.0754, 0.1354, 0.0726, 0.4554, 0.8403
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.4193, 0.6911, 0.5219, 0.3531, 0.6094, 0.8748
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.3138, 0.6186, 0.4164, 0.2629, 0.4799, 0.7264
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1540, 0.8599, 0.2612, 0.1502, 0.3996, 0.6694
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.3053, 0.6603, 0.4175, 0.2639, 0.5700, 0.8814
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2475, 0.5974, 0.3500, 0.2121, 0.5017, 0.8024
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1900, 0.5109, 0.2770, 0.1607, 0.4750, 0.7975
Jiuzhai valley (UAV-0.5m), palu, 0.0248, 0.1063, 0.0402, 0.0205, 0.4817, 0.9429
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.7431, 0.1644, 0.2692, 0.1556, 0.5468, 0.9388
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.2684, 0.4866, 0.3460, 0.2092, 0.5713, 0.9346
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.5461, 0.3589, 0.4331, 0.2764, 0.6165, 0.9573
Lombok, Hokkaido Iburi-Tobu, 0.2550, 0.0941, 0.1375, 0.0738, 0.4815, 0.8902
Lombok, Jiuzhai valley (UAV-0.2m), 0.7832, 0.1173, 0.2041, 0.1137, 0.4419, 0.7767
Lombok, Jiuzhai valley (UAV-0.5m), 0.5031, 0.3140, 0.3866, 0.2397, 0.5606, 0.8858
Lombok, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9008
Lombok, Longxi River (UAV), 0.1648, 0.4204, 0.2368, 0.1343, 0.3254, 0.5503
Lombok, Mengdong Township, 0.0337, 0.0347, 0.0342, 0.0174, 0.4114, 0.8061
Lombok, Moxi town (UAV-0.2m), 0.2090, 0.3744, 0.2683, 0.1549, 0.4063, 0.6779
Lombok, Moxi town (UAV-1m), 0.1114, 0.8062, 0.1957, 0.1085, 0.3160, 0.5496
Lombok, Moxitaidi (SAT), 0.0967, 0.2223, 0.1348, 0.0723, 0.4429, 0.8162
Lombok, Moxitaidi (UAV-0.6m), 0.1885, 0.0834, 0.1156, 0.0614, 0.4735, 0.8864
Lombok, Moxitaidi (UAV-1m), 0.0857, 0.1436, 0.1073, 0.0567, 0.4367, 0.8187
Lombok, palu, 0.1436, 0.3835, 0.2089, 0.1166, 0.5419, 0.9673
Lombok, Tiburon Peninsula (planet), 0.5368, 0.1130, 0.1867, 0.1030, 0.5174, 0.9324
Lombok, Tiburon Peninsula (Sentinel), 0.3630, 0.3094, 0.3340, 0.2005, 0.5781, 0.9561
Lombok, Wenchuan, 0.2950, 0.2690, 0.2814, 0.1637, 0.5503, 0.9376
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.8906, 0.0216, 0.0423, 0.0216, 0.4651, 0.9088
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 0.6125, 0.2056, 0.3079, 0.1819, 0.4722, 0.7744
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 0.3872, 0.4538, 0.4179, 0.2641, 0.5556, 0.8550
Longxi River (SAT), Lombok, 0.0724, 0.3554, 0.1203, 0.0640, 0.4519, 0.8416
Longxi River (SAT), Longxi River (UAV), 0.0157, 0.0001, 0.0002, 0.0001, 0.4166, 0.8330
Longxi River (SAT), Mengdong Township, 0.5210, 0.3036, 0.3836, 0.2373, 0.5689, 0.9035
Longxi River (SAT), Moxi town (UAV-0.2m), 0.3168, 0.7148, 0.4391, 0.2813, 0.4783, 0.7119
Longxi River (SAT), Moxi town (UAV-1m), 0.2520, 0.1614, 0.1968, 0.1091, 0.5093, 0.9104
Longxi River (SAT), Moxitaidi (SAT), 0.4710, 0.0185, 0.0357, 0.0182, 0.4768, 0.9355
Longxi River (SAT), Moxitaidi (UAV-0.6m), 0.2644, 0.2780, 0.2710, 0.1567, 0.5101, 0.8668
Longxi River (SAT), Moxitaidi (UAV-1m), 0.1276, 0.0279, 0.0457, 0.0234, 0.4675, 0.9117
Longxi River (SAT), palu, 0.0117, 0.0360, 0.0177, 0.0089, 0.4820, 0.9550
Longxi River (SAT), Tiburon Peninsula (planet), 0.1550, 0.2998, 0.2044, 0.1138, 0.4751, 0.8398
Longxi River (SAT), Tiburon Peninsula (Sentinel), 0.0853, 0.0089, 0.0161, 0.0081, 0.4847, 0.9614
Longxi River (SAT), Wenchuan, 0.2652, 0.2424, 0.2533, 0.1450, 0.5397, 0.9351
Longxi River (UAV), Hokkaido Iburi-Tobu, 0.2796, 0.7209, 0.4029, 0.2523, 0.5197, 0.8014
Longxi River (UAV), Jiuzhai valley (UAV-0.2m), 0.6219, 0.6473, 0.6344, 0.4645, 0.6241, 0.8179
Longxi River (UAV), Jiuzhai valley (UAV-0.5m), 0.5118, 0.6639, 0.5780, 0.4065, 0.6431, 0.8888
Longxi River (UAV), Lombok, 0.0619, 0.7251, 0.1140, 0.0605, 0.3547, 0.6568
Longxi River (UAV), Longxi River (SAT), 0.1587, 0.0110, 0.0205, 0.0104, 0.4532, 0.8962
Longxi River (UAV), Mengdong Township, 0.2726, 0.8810, 0.4164, 0.2629, 0.4977, 0.7558
Longxi River (UAV), Moxi town (UAV-0.2m), 0.2268, 0.5355, 0.3186, 0.1895, 0.3975, 0.6387
Longxi River (UAV), Moxi town (UAV-1m), 0.1453, 0.7004, 0.2407, 0.1368, 0.4107, 0.6997
Longxi River (UAV), Moxitaidi (SAT), 0.1832, 0.8698, 0.3027, 0.1783, 0.4525, 0.7419
Longxi River (UAV), Moxitaidi (UAV-0.6m), 0.1893, 0.6645, 0.2946, 0.1728, 0.4358, 0.7167
