source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.3560, 0.6595, 0.4624, 0.3007, 0.4274, 0.6258
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.4137, 0.7574, 0.5351, 0.3653, 0.6000, 0.8491
Hokkaido Iburi-Tobu, Lombok, 0.1224, 0.5668, 0.2014, 0.1119, 0.4863, 0.8630
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9009
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.6375, 0.1325, 0.2193, 0.1232, 0.4816, 0.8435
Hokkaido Iburi-Tobu, Mengdong Township, 0.3892, 0.5774, 0.4650, 0.3030, 0.5818, 0.8686
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3595, 0.5926, 0.4475, 0.2882, 0.5168, 0.7692
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2924, 0.6574, 0.4048, 0.2538, 0.5581, 0.8686
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3391, 0.5029, 0.4050, 0.2540, 0.5778, 0.9049
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2253, 0.3231, 0.2655, 0.1531, 0.4946, 0.8408
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.2059, 0.6202, 0.3092, 0.1828, 0.4810, 0.7896
Hokkaido Iburi-Tobu, palu, 0.1044, 0.3860, 0.1643, 0.0895, 0.5226, 0.9558
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.3463, 0.6232, 0.4452, 0.2863, 0.5875, 0.8934
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1802, 0.5356, 0.2697, 0.1558, 0.5254, 0.8969
Hokkaido Iburi-Tobu, Wenchuan, 0.4609, 0.4827, 0.4716, 0.3085, 0.6291, 0.9508
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.5430, 0.4817, 0.5105, 0.3427, 0.6264, 0.9141
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.5842, 0.8153, 0.6807, 0.5159, 0.7096, 0.9123
Jiuzhai valley (UAV-0.2m), Lombok, 0.0675, 0.5358, 0.1199, 0.0638, 0.4101, 0.7604
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4503, 0.9005
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.5591, 0.3002, 0.3907, 0.2428, 0.5396, 0.8446
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.3506, 0.6913, 0.4652, 0.3031, 0.5672, 0.8428
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.2824, 0.3863, 0.3263, 0.1949, 0.4635, 0.7484
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.4851, 0.0961, 0.1604, 0.0872, 0.5092, 0.9316
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.3400, 0.4852, 0.3998, 0.2499, 0.5765, 0.9062
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2801, 0.6660, 0.3943, 0.2456, 0.5260, 0.8178
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.3442, 0.4680, 0.3967, 0.2474, 0.5677, 0.8919
Jiuzhai valley (UAV-0.2m), palu, 0.0070, 0.0251, 0.0110, 0.0055, 0.4773, 0.9491
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.2429, 0.1058, 0.1474, 0.0796, 0.4975, 0.9160
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.2286, 0.2302, 0.2294, 0.1296, 0.5371, 0.9450
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.3667, 0.3555, 0.3610, 0.2203, 0.5811, 0.9428
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.4846, 0.5911, 0.5326, 0.3630, 0.6305, 0.9036
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7429, 0.6202, 0.6760, 0.5106, 0.6698, 0.8549
Jiuzhai valley (UAV-0.5m), Lombok, 0.0826, 0.6011, 0.1452, 0.0783, 0.4293, 0.7844
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4490, 0.8981
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.6785, 0.2417, 0.3564, 0.2169, 0.5330, 0.8552
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.3967, 0.7617, 0.5217, 0.3529, 0.6017, 0.8619
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.3093, 0.8101, 0.4477, 0.2884, 0.4634, 0.6847
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1287, 0.8798, 0.2245, 0.1265, 0.3436, 0.5870
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.3074, 0.7125, 0.4295, 0.2735, 0.5728, 0.8781
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2433, 0.5533, 0.3380, 0.2034, 0.5002, 0.8070
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1658, 0.7139, 0.2691, 0.1554, 0.4220, 0.7055
Jiuzhai valley (UAV-0.5m), palu, 0.0349, 0.2649, 0.0617, 0.0318, 0.4704, 0.9092
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.3456, 0.6727, 0.4566, 0.2959, 0.5904, 0.8902
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.2379, 0.5492, 0.3320, 0.1991, 0.5595, 0.9214
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.6489, 0.2085, 0.3155, 0.1873, 0.5729, 0.9589
Lombok, Hokkaido Iburi-Tobu, 0.4827, 0.1657, 0.2467, 0.1407, 0.5226, 0.9059
Lombok, Jiuzhai valley (UAV-0.2m), 0.8054, 0.2650, 0.3988, 0.2490, 0.5203, 0.8050
Lombok, Jiuzhai valley (UAV-0.5m), 0.3390, 0.1988, 0.2506, 0.1433, 0.5019, 0.8637
Lombok, Longxi River (SAT), 0.0027, 0.0000, 0.0000, 0.0000, 0.4501, 0.9002
Lombok, Longxi River (UAV), 0.0951, 0.1422, 0.1140, 0.0604, 0.3423, 0.6330
Lombok, Mengdong Township, 0.0439, 0.0218, 0.0291, 0.0148, 0.4354, 0.8564
Lombok, Moxi town (UAV-0.2m), 0.2200, 0.3831, 0.2795, 0.1624, 0.4154, 0.6884
Lombok, Moxi town (UAV-1m), 0.1194, 0.8669, 0.2099, 0.1173, 0.3231, 0.5566
Lombok, Moxitaidi (SAT), 0.1133, 0.2515, 0.1562, 0.0847, 0.4534, 0.8250
Lombok, Moxitaidi (UAV-0.6m), 0.1133, 0.0304, 0.0479, 0.0246, 0.4584, 0.8925
Lombok, Moxitaidi (UAV-1m), 0.0930, 0.0601, 0.0730, 0.0379, 0.4607, 0.8841
Lombok, palu, 0.1655, 0.4217, 0.2377, 0.1349, 0.5521, 0.9695
Lombok, Tiburon Peninsula (planet), 0.5602, 0.0741, 0.1309, 0.0701, 0.5011, 0.9325
Lombok, Tiburon Peninsula (Sentinel), 0.3455, 0.5138, 0.4132, 0.2604, 0.6038, 0.9481
Lombok, Wenchuan, 0.3740, 0.4390, 0.4039, 0.2531, 0.5965, 0.9411
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.9214, 0.0761, 0.1406, 0.0756, 0.4943, 0.9135
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 0.5578, 0.6151, 0.5850, 0.4135, 0.5815, 0.7871
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 0.5966, 0.2672, 0.3691, 0.2263, 0.5591, 0.8953
Longxi River (SAT), Lombok, 0.0744, 0.3289, 0.1213, 0.0646, 0.4590, 0.8548
Longxi River (SAT), Longxi River (UAV), 0.1233, 0.0173, 0.0303, 0.0154, 0.4157, 0.8165
Longxi River (SAT), Mengdong Township, 0.5234, 0.2207, 0.3104, 0.1837, 0.5423, 0.9031
Longxi River (SAT), Moxi town (UAV-0.2m), 0.5267, 0.2371, 0.3270, 0.1955, 0.5178, 0.8461
Longxi River (SAT), Moxi town (UAV-1m), 0.3381, 0.0652, 0.1093, 0.0578, 0.4926, 0.9278
Longxi River (SAT), Moxitaidi (SAT), 0.5085, 0.0222, 0.0426, 0.0218, 0.4787, 0.9356
Longxi River (SAT), Moxitaidi (UAV-0.6m), 0.2677, 0.4131, 0.3249, 0.1939, 0.5176, 0.8471
Longxi River (SAT), Moxitaidi (UAV-1m), 0.3359, 0.0826, 0.1326, 0.0710, 0.4942, 0.9180
Longxi River (SAT), palu, 0.0110, 0.0302, 0.0162, 0.0082, 0.4834, 0.9586
Longxi River (SAT), Tiburon Peninsula (planet), 0.2145, 0.5981, 0.3158, 0.1875, 0.5010, 0.8222
Longxi River (SAT), Tiburon Peninsula (Sentinel), 0.0737, 0.0403, 0.0521, 0.0268, 0.4873, 0.9479
Longxi River (SAT), Wenchuan, 0.2768, 0.4321, 0.3375, 0.2030, 0.5622, 0.9229
Longxi River (UAV), Hokkaido Iburi-Tobu, 0.2672, 0.7358, 0.3921, 0.2438, 0.5081, 0.7879
Longxi River (UAV), Jiuzhai valley (UAV-0.2m), 0.7410, 0.4776, 0.5808, 0.4093, 0.6094, 0.8318
Longxi River (UAV), Jiuzhai valley (UAV-0.5m), 0.5043, 0.6376, 0.5632, 0.3920, 0.6348, 0.8866
Longxi River (UAV), Lombok, 0.0793, 0.6817, 0.1421, 0.0765, 0.4102, 0.7493
Longxi River (UAV), Longxi River (SAT), 0.5037, 0.0658, 0.1163, 0.0618, 0.4811, 0.9010
