region,precision,recall,f1,iou,oa
Jiuzhai valley (UAV-0.2m), 0.3976, 0.5793, 0.4716, 0.3085, 0.8695
Jiuzhai valley (UAV-0.5m), 0.5416, 0.3652, 0.4362, 0.2789, 0.9051
Lombok, 0.4903, 0.2713, 0.3493, 0.2116, 0.8984
Longxi River (SAT), 0.5125, 0.3181, 0.3925, 0.2442, 0.9011
Longxi River (UAV), 0.2341, 0.7119, 0.3523, 0.2138, 0.7370
Mengdong Township, 0.3654, 0.0740, 0.1231, 0.0656, 0.8940
Moxi town (UAV-0.2m), 0.6326, 0.1079, 0.1843, 0.1015, 0.9041
Moxi town (UAV-1m), 0.4637, 0.3952, 0.4267, 0.2712, 0.8933
Moxitaidi (SAT), 0.4690, 0.2048, 0.2851, 0.1662, 0.8968
Moxitaidi (UAV-0.6m), 0.4972, 0.1784, 0.2626, 0.1511, 0.8993
Moxitaidi (UAV-1m), 0.5114, 0.1477, 0.2292, 0.1294, 0.9002
palu, 0.1654, 0.5180, 0.2508, 0.1434, 0.6889
Tiburon Peninsula (planet), 0.5725, 0.1432, 0.2291, 0.1294, 0.9032
Tiburon Peninsula (Sentinel), 0.4618, 0.1814, 0.2605, 0.1498, 0.8965
Wenchuan, 0.3626, 0.5019, 0.4210, 0.2666, 0.8613
