region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.5951, 0.7103, 0.6476, 0.4789, 0.8985
Jiuzhai valley (UAV-0.2m), 0.5137, 0.8566, 0.6423, 0.4730, 0.8747
Lombok, 0.6590, 0.4145, 0.5089, 0.3413, 0.8949
Longxi River (SAT), 0.3887, 0.6487, 0.4861, 0.3211, 0.8199
Longxi River (UAV), 0.5139, 0.4529, 0.4815, 0.3171, 0.8719
Mengdong Township, 0.5758, 0.4034, 0.4744, 0.3110, 0.8826
Moxi town (UAV-0.2m), 0.6488, 0.6889, 0.6683, 0.5018, 0.9102
Moxi town (UAV-1m), 0.5552, 0.7425, 0.6353, 0.4655, 0.8881
Moxitaidi (SAT), 0.5082, 0.4180, 0.4587, 0.2976, 0.8705
Moxitaidi (UAV-0.6m), 0.7179, 0.4853, 0.5791, 0.4076, 0.9074
Moxitaidi (UAV-1m), 0.6535, 0.3301, 0.4386, 0.2809, 0.8890
palu, 0.4708, 0.1559, 0.2342, 0.1327, 0.8661
Tiburon Peninsula (planet), 0.2168, 0.7545, 0.3368, 0.2025, 0.6097
Tiburon Peninsula (Sentinel), 0.6800, 0.3461, 0.4587, 0.2976, 0.8927
Wenchuan, 0.4938, 0.5815, 0.5341, 0.3643, 0.8668
