region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.1008, 0.5961, 0.1725, 0.0944, 0.8247
Jiuzhai valley (UAV-0.2m), 0.0690, 0.5847, 0.1234, 0.0657, 0.7452
Jiuzhai valley (UAV-0.5m), 0.0800, 0.3652, 0.1312, 0.0702, 0.8517
Longxi River (SAT), 0.0625, 0.3547, 0.1062, 0.0561, 0.8171
Longxi River (UAV), 0.0613, 0.4243, 0.1071, 0.0566, 0.7831
Mengdong Township, 0.0415, 0.1214, 0.0619, 0.0319, 0.8871
Moxi town (UAV-0.2m), 0.0721, 0.2672, 0.1136, 0.0602, 0.8722
Moxi town (UAV-1m), 0.0705, 0.3723, 0.1186, 0.0630, 0.8304
Moxitaidi (SAT), 0.0482, 0.2817, 0.0823, 0.0429, 0.8075
Moxitaidi (UAV-0.6m), 0.0567, 0.2312, 0.0911, 0.0477, 0.8585
Moxitaidi (UAV-1m), 0.0503, 0.1221, 0.0712, 0.0369, 0.9024
palu, 0.1063, 0.1465, 0.1232, 0.0657, 0.9361
Tiburon Peninsula (planet), 0.0679, 0.3618, 0.1143, 0.0606, 0.8281
Tiburon Peninsula (Sentinel), 0.2423, 0.1433, 0.1801, 0.0989, 0.9600
Wenchuan, 0.0651, 0.5003, 0.1152, 0.0611, 0.7644
