region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.8711, 0.0057, 0.0113, 0.0057, 0.9118
Jiuzhai valley (UAV-0.2m), 0.5868, 0.0684, 0.1226, 0.0653, 0.9132
Jiuzhai valley (UAV-0.5m), 0.9629, 0.0040, 0.0079, 0.0040, 0.9117
Lombok, 0.0000, 0.0000, 0.0000, 0.0000, 0.9114
Longxi River (UAV), 0.2583, 0.0345, 0.0609, 0.0314, 0.9057
Mengdong Township, 0.2432, 0.0146, 0.0275, 0.0139, 0.9087
Moxi town (UAV-0.2m), 0.9081, 0.0348, 0.0670, 0.0347, 0.9142
Moxi town (UAV-1m), 0.7565, 0.3678, 0.4949, 0.3288, 0.9335
Moxitaidi (SAT), 0.3414, 0.4613, 0.3924, 0.2441, 0.8734
Moxitaidi (UAV-0.6m), 0.8319, 0.1039, 0.1848, 0.1018, 0.9188
Moxitaidi (UAV-1m), 0.8408, 0.0466, 0.0884, 0.0462, 0.9148
palu, 1.0000, 0.0008, 0.0015, 0.0008, 0.9115
Tiburon Peninsula (planet), 0.6015, 0.1008, 0.1727, 0.0945, 0.9144
Tiburon Peninsula (Sentinel), 0.0000, 0.0000, 0.0000, 0.0000, 0.9114
Wenchuan, 0.6907, 0.1999, 0.3100, 0.1835, 0.9212
