region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.4840, 0.3002, 0.3706, 0.2274, 0.8443
Jiuzhai valley (UAV-0.2m), 0.6478, 0.2741, 0.3852, 0.2386, 0.8664
Jiuzhai valley (UAV-0.5m), 0.5939, 0.1520, 0.2421, 0.1377, 0.8546
Lombok, 0.3551, 0.0006, 0.0013, 0.0006, 0.8472
Longxi River (SAT), 0.1396, 0.0782, 0.1003, 0.0528, 0.7856
Mengdong Township, 0.6553, 0.0952, 0.1662, 0.0907, 0.8542
Moxi town (UAV-0.2m), 0.7031, 0.0636, 0.1167, 0.0620, 0.8529
Moxi town (UAV-1m), 0.4957, 0.2342, 0.3181, 0.1891, 0.8467
Moxitaidi (SAT), 0.2385, 0.6003, 0.3413, 0.2058, 0.6462
Moxitaidi (UAV-0.6m), 0.2756, 0.4075, 0.3288, 0.1967, 0.7459
Moxitaidi (UAV-1m), 0.4222, 0.3654, 0.3918, 0.2436, 0.8267
palu, 0.5735, 0.1229, 0.2024, 0.1126, 0.8521
Tiburon Peninsula (planet), 0.1496, 0.0672, 0.0927, 0.0486, 0.7992
Tiburon Peninsula (Sentinel), 0.7579, 0.1130, 0.1966, 0.1090, 0.8590
Wenchuan, 0.5671, 0.4381, 0.4944, 0.3283, 0.8631
