region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.3732, 0.7788, 0.5046, 0.3374, 0.7229
Jiuzhai valley (UAV-0.2m), 0.4066, 0.7865, 0.5361, 0.3662, 0.7533
Jiuzhai valley (UAV-0.5m), 0.4741, 0.7936, 0.5936, 0.4221, 0.8031
Lombok, 0.3809, 0.3414, 0.3601, 0.2196, 0.7801
Longxi River (SAT), 0.2910, 0.4727, 0.3602, 0.2197, 0.6958
Longxi River (UAV), 0.3539, 0.6579, 0.4603, 0.2989, 0.7204
Mengdong Township, 0.6838, 0.1545, 0.2521, 0.1442, 0.8338
Moxi town (UAV-0.2m), 0.5660, 0.8302, 0.6731, 0.5072, 0.8539
Moxi town (UAV-1m), 0.5427, 0.7790, 0.6398, 0.4703, 0.8410
Moxitaidi (SAT), 0.4491, 0.6424, 0.5287, 0.3593, 0.7924
Moxitaidi (UAV-0.6m), 0.6704, 0.5527, 0.6059, 0.4346, 0.8697
Moxitaidi (UAV-1m), 0.6608, 0.3779, 0.4808, 0.3165, 0.8521
palu, 0.3950, 0.2258, 0.2873, 0.1678, 0.7970
Tiburon Peninsula (planet), 0.2320, 0.5029, 0.3176, 0.1887, 0.6083
Tiburon Peninsula (Sentinel), 0.4012, 0.6082, 0.4835, 0.3188, 0.7645
Wenchuan, 0.3809, 0.7177, 0.4977, 0.3313, 0.7375
