region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.1685, 0.8100, 0.2790, 0.1621, 0.7025
Jiuzhai valley (UAV-0.2m), 0.1745, 0.6046, 0.2709, 0.1567, 0.7687
Jiuzhai valley (UAV-0.5m), 0.3142, 0.5555, 0.4013, 0.2510, 0.8823
Lombok, 0.1186, 0.7007, 0.2028, 0.1129, 0.6087
Longxi River (SAT), 0.1400, 0.2213, 0.1715, 0.0938, 0.8481
Longxi River (UAV), 0.1213, 0.6384, 0.2039, 0.1135, 0.6458
Mengdong Township, 0.0241, 0.0231, 0.0236, 0.0119, 0.8640
Moxi town (UAV-0.2m), 0.3505, 0.6357, 0.4519, 0.2919, 0.8904
Moxi town (UAV-1m), 0.4384, 0.5796, 0.4992, 0.3326, 0.9174
Moxitaidi (SAT), 0.3522, 0.3513, 0.3517, 0.2134, 0.9080
Moxitaidi (UAV-0.6m), 0.4463, 0.1834, 0.2600, 0.1494, 0.9258
Moxitaidi (UAV-1m), 0.2994, 0.0931, 0.1420, 0.0764, 0.9201
palu, 0.1529, 0.2815, 0.1982, 0.1100, 0.8382
Tiburon Peninsula (planet), 0.1112, 0.3487, 0.1686, 0.0921, 0.7557
Tiburon Peninsula (Sentinel), 0.1757, 0.7453, 0.2844, 0.1657, 0.7335
Wenchuan, 0.1514, 0.6682, 0.2469, 0.1408, 0.7104
