region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.2770, 0.5794, 0.3748, 0.2307, 0.8613
Jiuzhai valley (UAV-0.2m), 0.2806, 0.6475, 0.3916, 0.2434, 0.8556
Jiuzhai valley (UAV-0.5m), 0.5607, 0.4201, 0.4804, 0.3161, 0.9348
Lombok, 0.2279, 0.0587, 0.0934, 0.0490, 0.9182
Longxi River (SAT), 0.4736, 0.0685, 0.1196, 0.0636, 0.9277
Longxi River (UAV), 0.1820, 0.8018, 0.2967, 0.1742, 0.7271
Mengdong Township, 0.5863, 0.3217, 0.4155, 0.2622, 0.9350
Moxi town (UAV-0.2m), 0.5937, 0.2842, 0.3844, 0.2379, 0.9347
Moxi town (UAV-1m), 0.4559, 0.5270, 0.4888, 0.3235, 0.9209
Moxitaidi (UAV-0.6m), 0.4259, 0.6289, 0.5079, 0.3404, 0.9125
Moxitaidi (UAV-1m), 0.4667, 0.6091, 0.5285, 0.3591, 0.9220
palu, 0.3606, 0.2521, 0.2967, 0.1742, 0.9142
Tiburon Peninsula (planet), 0.6853, 0.3283, 0.4439, 0.2853, 0.9410
Tiburon Peninsula (Sentinel), 0.3718, 0.4033, 0.3869, 0.2399, 0.9083
Wenchuan, 0.2535, 0.6660, 0.3673, 0.2249, 0.8353
