region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.1696, 0.7004, 0.2730, 0.1581, 0.7091
Jiuzhai valley (UAV-0.2m), 0.1616, 0.6953, 0.2623, 0.1509, 0.6949
Jiuzhai valley (UAV-0.5m), 0.2865, 0.5623, 0.3796, 0.2343, 0.8566
Lombok, 0.0764, 0.0767, 0.0766, 0.0398, 0.8557
Longxi River (SAT), 0.2206, 0.3993, 0.2842, 0.1656, 0.8431
Longxi River (UAV), 0.1463, 0.6438, 0.2385, 0.1354, 0.6792
Mengdong Township, 0.3024, 0.2862, 0.2941, 0.1724, 0.8928
Moxi town (UAV-0.2m), 0.3562, 0.4443, 0.3954, 0.2464, 0.8940
Moxi town (UAV-1m), 0.2629, 0.5758, 0.3610, 0.2203, 0.8410
Moxitaidi (SAT), 0.2360, 0.7074, 0.3539, 0.2150, 0.7985
Moxitaidi (UAV-0.6m), 0.4546, 0.6307, 0.5284, 0.3590, 0.9122
palu, 0.3757, 0.1654, 0.2296, 0.1297, 0.9135
Tiburon Peninsula (planet), 0.2169, 0.2434, 0.2294, 0.1296, 0.8724
Tiburon Peninsula (Sentinel), 0.1348, 0.2470, 0.1744, 0.0956, 0.8176
Wenchuan, 0.1402, 0.6571, 0.2311, 0.1307, 0.6590
