region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.1352, 0.5838, 0.2195, 0.1233, 0.8513
Jiuzhai valley (UAV-0.2m), 0.1175, 0.3500, 0.1759, 0.0965, 0.8826
Jiuzhai valley (UAV-0.5m), 0.1890, 0.1347, 0.1573, 0.0853, 0.9483
Lombok, 0.2338, 0.2486, 0.2410, 0.1370, 0.9439
Longxi River (SAT), 0.0382, 0.0690, 0.0492, 0.0252, 0.9045
Longxi River (UAV), 0.0833, 0.5894, 0.1460, 0.0788, 0.7531
Mengdong Township, 0.1842, 0.0826, 0.1140, 0.0605, 0.9541
Moxi town (UAV-0.2m), 0.2876, 0.1134, 0.1627, 0.0885, 0.9582
Moxi town (UAV-1m), 0.1639, 0.3581, 0.2249, 0.1267, 0.9116
Moxitaidi (SAT), 0.2435, 0.0930, 0.1346, 0.0722, 0.9572
Moxitaidi (UAV-0.6m), 0.0608, 0.0953, 0.0742, 0.0385, 0.9149
Moxitaidi (UAV-1m), 0.1445, 0.1052, 0.1217, 0.0648, 0.9457
palu, 0.0778, 0.6828, 0.1396, 0.0750, 0.6987
Tiburon Peninsula (planet), 0.2414, 0.1458, 0.1818, 0.1000, 0.9530
Wenchuan, 0.0866, 0.5355, 0.1491, 0.0805, 0.7811
