region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.2834, 0.5261, 0.3684, 0.2258, 0.9179
Jiuzhai valley (UAV-0.2m), 0.2204, 0.6092, 0.3237, 0.1931, 0.8841
Jiuzhai valley (UAV-0.5m), 0.3872, 0.2049, 0.2680, 0.1547, 0.9491
Lombok, 0.2639, 0.1207, 0.1656, 0.0903, 0.9447
Longxi River (SAT), 0.1706, 0.5086, 0.2555, 0.1465, 0.8652
Longxi River (UAV), 0.3534, 0.2879, 0.3173, 0.1886, 0.9436
Mengdong Township, 0.4743, 0.2247, 0.3049, 0.1799, 0.9534
Moxi town (UAV-0.2m), 0.4287, 0.2521, 0.3175, 0.1887, 0.9507
Moxi town (UAV-1m), 0.2761, 0.5086, 0.3579, 0.2179, 0.9169
Moxitaidi (SAT), 0.1978, 0.3871, 0.2618, 0.1506, 0.9007
Moxitaidi (UAV-0.6m), 0.3293, 0.3343, 0.3318, 0.1989, 0.9387
Moxitaidi (UAV-1m), 0.3072, 0.4433, 0.3629, 0.2217, 0.9292
palu, 0.2281, 0.3669, 0.2813, 0.1637, 0.9147
Tiburon Peninsula (planet), 0.1832, 0.3991, 0.2512, 0.1436, 0.8917
Tiburon Peninsula (Sentinel), 0.2804, 0.2026, 0.2352, 0.1333, 0.9401
