region,precision,recall,f1,iou,oa
Hokkaido Iburi-Tobu, 0.0562, 0.3196, 0.0957, 0.0502, 0.9268
Jiuzhai valley (UAV-0.2m), 0.0302, 0.2573, 0.0541, 0.0278, 0.8910
Jiuzhai valley (UAV-0.5m), 0.0616, 0.1320, 0.0840, 0.0438, 0.9651
Lombok, 0.0556, 0.0821, 0.0663, 0.0343, 0.9720
Longxi River (SAT), 0.0212, 0.1225, 0.0361, 0.0184, 0.9208
Longxi River (UAV), 0.0241, 0.3050, 0.0448, 0.0229, 0.8423
Mengdong Township, 0.0107, 0.0234, 0.0147, 0.0074, 0.9619
Moxi town (UAV-0.2m), 0.0386, 0.0664, 0.0488, 0.0250, 0.9686
Moxi town (UAV-1m), 0.0407, 0.1308, 0.0621, 0.0321, 0.9522
Moxitaidi (SAT), 0.0154, 0.0759, 0.0256, 0.0130, 0.9301
Moxitaidi (UAV-0.6m), 0.0331, 0.1505, 0.0543, 0.0279, 0.9365
Moxitaidi (UAV-1m), 0.0440, 0.0922, 0.0595, 0.0307, 0.9647
Tiburon Peninsula (planet), 0.0134, 0.0315, 0.0188, 0.0095, 0.9601
Tiburon Peninsula (Sentinel), 0.0734, 0.0829, 0.0779, 0.0405, 0.9762
Wenchuan, 0.0260, 0.2863, 0.0476, 0.0244, 0.8614
