source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.7852, 0.5516, 0.6480, 0.4793, 0.6551, 0.8538, 0.1675
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.7069, 0.6295, 0.6659, 0.4992, 0.7106, 0.9276, 0.3323
Hokkaido Iburi-Tobu, Lombok, 0.1617, 0.4742, 0.2412, 0.1371, 0.5224, 0.9091, 0.1478
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4505, 0.9009, 0.0000
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.7331, 0.0355, 0.0678, 0.0351, 0.4360, 0.8378, 0.0487
Hokkaido Iburi-Tobu, Mengdong Township, 0.5263, 0.2449, 0.3342, 0.2006, 0.5509, 0.9035, 0.2213
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3887, 0.3780, 0.3833, 0.2371, 0.5165, 0.8081, 0.0936
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.3187, 0.4961, 0.3881, 0.2408, 0.5654, 0.8937, 0.1849
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3914, 0.3654, 0.3779, 0.2330, 0.5768, 0.9225, 0.1841
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.3067, 0.2260, 0.2602, 0.1496, 0.5164, 0.8856, 0.1291
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1945, 0.3867, 0.2588, 0.1486, 0.4877, 0.8318, 0.1645
Hokkaido Iburi-Tobu, palu, 0.1407, 0.2309, 0.1749, 0.0958, 0.5356, 0.9755, 0.1592
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.7740, 0.1473, 0.2475, 0.1412, 0.5396, 0.9385, 0.1021
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.2231, 0.5234, 0.3129, 0.1855, 0.5511, 0.9183, 0.2415
Hokkaido Iburi-Tobu, Wenchuan, 0.4496, 0.4824, 0.4654, 0.3033, 0.6259, 0.9496, 0.3593
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.5045, 0.1504, 0.2317, 0.1310, 0.5185, 0.9073, 0.0309
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.6479, 0.7113, 0.6781, 0.5130, 0.7143, 0.9226, 0.1987
Jiuzhai valley (UAV-0.2m), Lombok, 0.0797, 0.1126, 0.0933, 0.0490, 0.4910, 0.9334, 0.0378
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9007, 0.0000
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.4898, 0.0818, 0.1401, 0.0754, 0.4533, 0.8335, 0.0302
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.5023, 0.2120, 0.2982, 0.1752, 0.5372, 0.9013, 0.0792
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.4727, 0.5146, 0.4927, 0.3269, 0.5725, 0.8329, 0.0890
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.4047, 0.2819, 0.3323, 0.1993, 0.5604, 0.9230, 0.0977
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.5821, 0.4403, 0.5014, 0.3346, 0.6383, 0.9436, 0.0586
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2190, 0.4318, 0.2906, 0.1700, 0.4874, 0.8123, 0.0733
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.2529, 0.5125, 0.3386, 0.2038, 0.5229, 0.8480, 0.0809
Jiuzhai valley (UAV-0.2m), palu, 0.0065, 0.0014, 0.0023, 0.0011, 0.4938, 0.9864, 0.0008
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.6103, 0.1331, 0.2186, 0.1227, 0.5284, 0.9347, 0.0394
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.1164, 0.0104, 0.0190, 0.0096, 0.4858, 0.9620, 0.0089
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.4406, 0.2313, 0.3033, 0.1788, 0.5650, 0.9517, 0.1043
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.7700, 0.3920, 0.5195, 0.3509, 0.6405, 0.9326, 0.1358
