source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai Valley, 0.6594, 0.8284, 0.7343, 0.5802, 0.7070, 0.8649
Hokkaido Iburi-Tobu, Lombok, 0.3917, 0.1763, 0.2432, 0.1384, 0.5521, 0.9659
Hokkaido Iburi-Tobu, Longxi River, 0.5045, 0.8439, 0.6315, 0.4614, 0.6704, 0.8906
Hokkaido Iburi-Tobu, Mengdong Township, 0.5470, 0.6526, 0.5952, 0.4236, 0.6653, 0.9129
Hokkaido Iburi-Tobu, Luding, 0.3427, 0.4054, 0.3714, 0.2280, 0.5362, 0.8512
Hokkaido Iburi-Tobu, Palu, 0.4849, 0.3113, 0.3792, 0.2339, 0.6108, 0.9877
Hokkaido Iburi-Tobu, Tiburon Peninsula, 0.5527, 0.6023, 0.5765, 0.4049, 0.6814, 0.9591
Hokkaido Iburi-Tobu, Wenchuan, 0.6262, 0.4488, 0.5229, 0.3540, 0.6565, 0.9599
Jiuzhai Valley, Hokkaido Iburi-Tobu, 0.5739, 0.8264, 0.6774, 0.5122, 0.7158, 0.9258
Jiuzhai Valley, Lombok, 0.4565, 0.2328, 0.3083, 0.1822, 0.5748, 0.9675
Jiuzhai Valley, Longxi River, 0.5322, 0.6280, 0.5761, 0.4046, 0.6472, 0.8974
Jiuzhai Valley, Mengdong Township, 0.6449, 0.5977, 0.6204, 0.4497, 0.6867, 0.9282
Jiuzhai Valley, Luding, 0.5315, 0.5471, 0.5392, 0.3691, 0.6307, 0.8986
Jiuzhai Valley, Palu, 0.2516, 0.3633, 0.2973, 0.1746, 0.5769, 0.9793
Jiuzhai Valley, Tiburon Peninsula, 0.5460, 0.5644, 0.5550, 0.3841, 0.6706, 0.9581
Jiuzhai Valley, Wenchuan, 0.7600, 0.2643, 0.3922, 0.2440, 0.6017, 0.9599
Lombok, Hokkaido Iburi-Tobu, 0.6534, 0.7955, 0.7175, 0.5594, 0.7478, 0.9409
Lombok, Jiuzhai Valley, 0.6897, 0.8584, 0.7649, 0.6193, 0.7359, 0.8810
Lombok, Longxi River, 0.5569, 0.6923, 0.6173, 0.4464, 0.6716, 0.9047
Lombok, Mengdong Township, 0.5043, 0.8034, 0.6196, 0.4489, 0.6719, 0.9032
Lombok, Luding, 0.4527, 0.5996, 0.5159, 0.3476, 0.6086, 0.8780
Lombok, Palu, 0.3674, 0.4072, 0.3863, 0.2394, 0.6118, 0.9844
Lombok, Tiburon Peninsula, 0.5139, 0.7168, 0.5986, 0.4271, 0.6906, 0.9555
Lombok, Wenchuan, 0.7113, 0.6479, 0.6781, 0.5130, 0.7409, 0.9699
Longxi River, Hokkaido Iburi-Tobu, 0.6858, 0.7379, 0.7109, 0.5515, 0.7453, 0.9434
Longxi River, Jiuzhai Valley, 0.7206, 0.7866, 0.7522, 0.6028, 0.7304, 0.8831
Longxi River, Lombok, 0.3713, 0.1133, 0.1736, 0.0950, 0.5307, 0.9665
Longxi River, Mengdong Township, 0.5315, 0.7460, 0.6207, 0.4500, 0.6768, 0.9106
