source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.4254, 0.7110, 0.5323, 0.3627, 0.4969, 0.6951
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.2115, 0.8040, 0.3349, 0.2011, 0.3989, 0.6338
Hokkaido Iburi-Tobu, Lombok, 0.1081, 0.6576, 0.1857, 0.1023, 0.4615, 0.8243
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.2164, 0.0018, 0.0036, 0.0018, 0.4511, 0.9004
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.5807, 0.1486, 0.2366, 0.1342, 0.4855, 0.8409
Hokkaido Iburi-Tobu, Mengdong Township, 0.2550, 0.4885, 0.3351, 0.2013, 0.4999, 0.8083
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3305, 0.6789, 0.4446, 0.2858, 0.4930, 0.7324
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.3011, 0.5932, 0.3994, 0.2495, 0.5616, 0.8788
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.2444, 0.4025, 0.3042, 0.1794, 0.5288, 0.8814
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2937, 0.4803, 0.3645, 0.2229, 0.5335, 0.8509
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1874, 0.5455, 0.2790, 0.1621, 0.4694, 0.7860
Hokkaido Iburi-Tobu, palu, 0.0806, 0.4831, 0.1381, 0.0742, 0.5030, 0.9321
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.2110, 0.7433, 0.3287, 0.1966, 0.4885, 0.7916
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1754, 0.5224, 0.2626, 0.1511, 0.5224, 0.8957
Hokkaido Iburi-Tobu, Wenchuan, 0.3192, 0.7354, 0.4452, 0.2863, 0.6001, 0.9167
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.4954, 0.5678, 0.5291, 0.3597, 0.6303, 0.9061
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.5247, 0.7711, 0.6245, 0.4540, 0.6687, 0.8937
Jiuzhai valley (UAV-0.2m), Lombok, 0.0917, 0.4191, 0.1505, 0.0814, 0.4676, 0.8558
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.2180, 0.0010, 0.0021, 0.0010, 0.4508, 0.9006
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.5258, 0.7385, 0.6142, 0.4432, 0.6339, 0.8461
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.1514, 0.9193, 0.2599, 0.1494, 0.2899, 0.4823
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.2996, 0.8360, 0.4411, 0.2830, 0.4490, 0.6658
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.3590, 0.0551, 0.0955, 0.0502, 0.4895, 0.9291
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.2696, 0.8000, 0.4033, 0.2526, 0.5459, 0.8476
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2063, 0.8269, 0.3302, 0.1978, 0.4377, 0.7013
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.1991, 0.6452, 0.3043, 0.1795, 0.4720, 0.7761
Jiuzhai valley (UAV-0.2m), palu, 0.0264, 0.2545, 0.0479, 0.0245, 0.4551, 0.8860
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.4507, 0.4519, 0.4513, 0.2914, 0.6068, 0.9246
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.1129, 0.8485, 0.1992, 0.1106, 0.4303, 0.7576
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.4115, 0.3358, 0.3698, 0.2269, 0.5870, 0.9480
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.6725, 0.4393, 0.5315, 0.3619, 0.6434, 0.9280
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.8116, 0.6176, 0.7015, 0.5402, 0.6946, 0.8717
Jiuzhai valley (UAV-0.5m), Lombok, 0.0852, 0.6983, 0.1518, 0.0821, 0.4196, 0.7622
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.0842, 0.0018, 0.0035, 0.0017, 0.4504, 0.8992
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.7154, 0.1672, 0.2711, 0.1568, 0.5017, 0.8508
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.3557, 0.8268, 0.4974, 0.3311, 0.5756, 0.8348
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.2969, 0.8058, 0.4339, 0.2771, 0.4486, 0.6684
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.1373, 0.8424, 0.2360, 0.1338, 0.3704, 0.6294
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.2645, 0.7212, 0.3870, 0.2399, 0.5428, 0.8529
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2235, 0.6756, 0.3359, 0.2019, 0.4744, 0.7621
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.2025, 0.7304, 0.3171, 0.1884, 0.4678, 0.7611
Jiuzhai valley (UAV-0.5m), palu, 0.0269, 0.1961, 0.0474, 0.0243, 0.4676, 0.9112
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.2440, 0.8465, 0.3788, 0.2336, 0.5157, 0.8095
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.1999, 0.5064, 0.2866, 0.1673, 0.5380, 0.9104
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.5277, 0.4129, 0.4633, 0.3015, 0.6286, 0.9565
Lombok, Hokkaido Iburi-Tobu, 0.4168, 0.5230, 0.4639, 0.3020, 0.5920, 0.8877
Lombok, Jiuzhai valley (UAV-0.2m), 0.8235, 0.3727, 0.5132, 0.3451, 0.5776, 0.8274
Lombok, Jiuzhai valley (UAV-0.5m), 0.5726, 0.5787, 0.5756, 0.4041, 0.6497, 0.9022
Lombok, Longxi River (SAT), 0.2524, 0.0088, 0.0170, 0.0086, 0.4539, 0.8992
Lombok, Longxi River (UAV), 0.2624, 0.0873, 0.1310, 0.0701, 0.4376, 0.8078
Lombok, Mengdong Township, 0.0581, 0.0494, 0.0534, 0.0274, 0.4267, 0.8267
Lombok, Moxi town (UAV-0.2m), 0.2028, 0.4916, 0.2872, 0.1677, 0.3752, 0.6150
Lombok, Moxi town (UAV-1m), 0.0863, 0.9231, 0.1579, 0.0857, 0.1858, 0.3308
Lombok, Moxitaidi (SAT), 0.1313, 0.1719, 0.1489, 0.0804, 0.4762, 0.8735
Lombok, Moxitaidi (UAV-0.6m), 0.0997, 0.0682, 0.0810, 0.0422, 0.4518, 0.8622
Lombok, Moxitaidi (UAV-1m), 0.1224, 0.3064, 0.1749, 0.0958, 0.4356, 0.7805
Lombok, palu, 0.1853, 0.4350, 0.2599, 0.1494, 0.5607, 0.9721
Lombok, Tiburon Peninsula (planet), 0.4433, 0.0525, 0.0939, 0.0492, 0.4897, 0.9305
Lombok, Tiburon Peninsula (Sentinel), 0.1471, 0.8391, 0.2503, 0.1430, 0.4794, 0.8213
Lombok, Wenchuan, 0.3509, 0.4560, 0.3966, 0.2473, 0.5915, 0.9369
Longxi River (SAT), Hokkaido Iburi-Tobu, 0.8184, 0.3406, 0.4810, 0.3167, 0.6231, 0.9317
Longxi River (SAT), Jiuzhai valley (UAV-0.2m), 0.7821, 0.4702, 0.5873, 0.4157, 0.6168, 0.8387
Longxi River (SAT), Jiuzhai valley (UAV-0.5m), 0.6870, 0.1727, 0.2760, 0.1601, 0.5270, 0.8961
Longxi River (SAT), Lombok, 0.0888, 0.4557, 0.1486, 0.0803, 0.4595, 0.8409
Longxi River (SAT), Longxi River (UAV), 0.0000, 0.0000, 0.0000, 0.0000, 0.4170, 0.8340
Longxi River (SAT), Mengdong Township, 0.4227, 0.4434, 0.4328, 0.2761, 0.5780, 0.8851
Longxi River (SAT), Moxi town (UAV-0.2m), 0.4024, 0.5684, 0.4712, 0.3082, 0.5436, 0.7988
Longxi River (SAT), Moxi town (UAV-1m), 0.1789, 0.0464, 0.0738, 0.0383, 0.4794, 0.9207
Longxi River (SAT), Moxitaidi (SAT), 0.7673, 0.3809, 0.5091, 0.3415, 0.6465, 0.9527
Longxi River (SAT), Moxitaidi (UAV-0.6m), 0.3197, 0.5824, 0.4128, 0.2601, 0.5523, 0.8525
Longxi River (SAT), Moxitaidi (UAV-1m), 0.1728, 0.1695, 0.1711, 0.0936, 0.4836, 0.8753
Longxi River (SAT), palu, 0.0104, 0.0377, 0.0163, 0.0082, 0.4786, 0.9489
Longxi River (SAT), Tiburon Peninsula (planet), 0.1164, 0.4895, 0.1881, 0.1038, 0.4019, 0.7100
Longxi River (SAT), Tiburon Peninsula (Sentinel), 0.0966, 0.1265, 0.1095, 0.0579, 0.4922, 0.9269
Longxi River (SAT), Wenchuan, 0.2550, 0.1373, 0.1785, 0.0980, 0.5201, 0.9426
Longxi River (UAV), Hokkaido Iburi-Tobu, 0.2865, 0.8318, 0.4262, 0.2708, 0.5226, 0.7918
Longxi River (UAV), Jiuzhai valley (UAV-0.2m), 0.7027, 0.5786, 0.6346, 0.4648, 0.6377, 0.8374
Longxi River (UAV), Jiuzhai valley (UAV-0.5m), 0.5680, 0.6691, 0.6145, 0.4435, 0.6696, 0.9037
Longxi River (UAV), Lombok, 0.0834, 0.7461, 0.1500, 0.0811, 0.4087, 0.7424
Longxi River (UAV), Longxi River (SAT), 0.6582, 0.1461, 0.2391, 0.1358, 0.5211, 0.9079
Longxi River (UAV), Mengdong Township, 0.2454, 0.9029, 0.3860, 0.2391, 0.4636, 0.7159
Longxi River (UAV), Moxi town (UAV-0.2m), 0.2826, 0.5664, 0.3771, 0.2323, 0.4541, 0.7048
Longxi River (UAV), Moxi town (UAV-1m), 0.0842, 0.9271, 0.1544, 0.0837, 0.1735, 0.3098
Longxi River (UAV), Moxitaidi (SAT), 0.1925, 0.8295, 0.3124, 0.1851, 0.4684, 0.7649
Longxi River (UAV), Moxitaidi (UAV-0.6m), 0.1841, 0.6588, 0.2878, 0.1681, 0.4298, 0.7096
Longxi River (UAV), Moxitaidi (UAV-1m), 0.1442, 0.7277, 0.2407, 0.1368, 0.3839, 0.6514
Longxi River (UAV), palu, 0.0316, 0.3893, 0.0584, 0.0301, 0.4441, 0.8587
Longxi River (UAV), Tiburon Peninsula (planet), 0.0856, 0.9889, 0.1576, 0.0855, 0.1538, 0.2747
Longxi River (UAV), Tiburon Peninsula (Sentinel), 0.0951, 0.8609, 0.1714, 0.0937, 0.3942, 0.7040
Longxi River (UAV), Wenchuan, 0.4157, 0.6363, 0.5029, 0.3359, 0.6385, 0.9428
Mengdong Township, Hokkaido Iburi-Tobu, 0.7471, 0.2497, 0.3743, 0.2303, 0.5754, 0.9224
Mengdong Township, Jiuzhai valley (UAV-0.2m), 0.7840, 0.5116, 0.6191, 0.4484, 0.6364, 0.8464
